Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,4.7498e-07,0.2111
0.5007699999999999,4.8968e-07,0.20223
0.5134449999999999,3.4071e-07,0.28872
0.52644,6.1561e-07,0.17264
0.5397700000000001,6.4337e-07,0.15256
0.553435,4.5012e-07,0.21697
0.567445,6.7158e-07,0.13752
0.58181,7.5645e-07,0.12112
0.596535,7.3461e-07,0.12058
0.61164,6.4976e-07,0.13051
0.6271249999999999,7.702e-07,0.11089
0.643,7.6494e-07,0.11478
0.65928,8.7992e-07,0.09521
0.67597,1.0498e-06,0.082928
0.69308,1.0141e-06,0.086079
0.7106250000000001,8.8218e-07,0.088147
0.728615,8.7003e-07,0.091175
0.7470600000000001,9.0827e-07,0.088862
0.76597,8.8131e-07,0.085459
0.7853600000000001,1.0552e-06,0.072589
0.805245,1.0117e-06,0.077514
0.82563,1.0637e-06,0.07471
0.84653,9.5455e-07,0.079579
0.8679600000000001,1.2143e-06,0.061172
0.88993,1.103e-06,0.071662
0.912455,1.0592e-06,0.073909
0.935555,1.1842e-06,0.067404
0.9592400000000001,1.2586e-06,0.065539
0.983525,1.0837e-06,0.071388
1.00841,1.2002e-06,0.066042
1.03395,1.2057e-06,0.067371
1.06015,1.1766e-06,0.069371
1.087,1.1311e-06,0.072239
1.1145,1.1242e-06,0.073266
1.1427,1.1569e-06,0.070155
1.17165,1.2221e-06,0.064964
1.2012999999999998,1.3681e-06,0.060616
1.2317,1.438e-06,0.055808
1.2629000000000001,1.2436e-06,0.066183
1.2948499999999998,1.3641e-06,0.063985
1.3276,1.2864e-06,0.064486
1.3612000000000002,1.2513e-06,0.066199
1.39565,1.3613e-06,0.062754
1.431,1.185e-06,0.075558
1.46725,1.3495e-06,0.064825
1.5044,1.4517e-06,0.062546
1.5425,1.3557e-06,0.063966
1.58155,1.3137e-06,0.068978
1.62155,1.224e-06,0.073826
1.6625999999999999,1.3759e-06,0.068983
1.7046999999999999,1.4724e-06,0.062168
1.7478500000000001,1.5516e-06,0.059296
1.7921,1.382e-06,0.06822
1.83745,1.5425e-06,0.062355
1.88395,1.3293e-06,0.075532
1.9316499999999999,1.4723e-06,0.067823
1.98055,1.4472e-06,0.068104
2.0307,1.4465e-06,0.069517
2.0820999999999996,1.3871e-06,0.071501
2.1348000000000003,1.4144e-06,0.073403
2.1888500000000004,1.376e-06,0.072609
2.24425,1.5197e-06,0.06615
2.3011,1.5575e-06,0.064437
2.35935,1.3008e-06,0.078175
