Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,32.22,0.052000000000000005
9.0,33.77,0.035
10.0,32.81,0.063
11.0,32.67,0.077
12.0,33.4,0.077
13.0,34.49,0.059000000000000004
14.0,35.71,0.03
15.0,37.53,0.052000000000000005
16.0,40.49,0.062
17.0,44.39,0.099
18.0,48.51,0.115
19.0,52.4,0.102
20.0,56.12,0.068
21.0,60.02,0.035
22.0,64.28,0.057999999999999996
23.0,68.9,0.081
24.0,73.73,0.09300000000000001
25.0,78.59,0.09300000000000001
26.0,83.26,0.084
27.0,87.59,0.073
28.0,91.65,0.064
29.0,95.87,0.06
30.0,100.8,0.062
31.0,106.8,0.065
32.0,113.7,0.064
33.0,120.9,0.062
34.0,127.8,0.061
35.0,134.0,0.063
36.0,139.4,0.066
37.0,144.1,0.069
38.0,148.2,0.069
39.0,152.0,0.066
40.0,155.7,0.06
41.0,159.3,0.052000000000000005
42.0,162.8,0.046
43.0,166.3,0.043
44.0,169.6,0.042
46.0,173.3,0.043
48.0,175.4,0.046
50.0,173.5,0.044000000000000004
52.0,166.7,0.044000000000000004
54.0,152.8,0.064
56.0,132.2,0.11199999999999999
58.0,127.5,0.084
60.0,216.2,0.15
62.0,456.9,0.115
64.0,748.6,0.052000000000000005
66.0,798.3,0.055
68.0,477.7,0.09
70.0,176.6,0.047
