Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,97.37,0.29600000000000004
9.0,95.63,0.07200000000000001
10.0,90.58,0.11199999999999999
11.0,85.45,0.183
12.0,81.26,0.19899999999999998
13.0,78.24,0.179
14.0,76.39,0.151
15.0,75.67,0.147
16.0,76.87,0.171
17.0,82.18,0.203
18.0,94.47,0.207
19.0,116.0,0.165
20.0,146.6,0.096
21.0,184.6,0.057999999999999996
22.0,226.6,0.09
23.0,269.8,0.11699999999999999
24.0,311.0,0.132
25.0,347.8,0.135
26.0,377.7,0.129
27.0,398.9,0.12
28.0,410.5,0.11
29.0,414.0,0.102
30.0,413.0,0.098
31.0,412.3,0.09699999999999999
32.0,416.2,0.096
33.0,427.3,0.095
34.0,446.1,0.092
35.0,471.0,0.08800000000000001
36.0,499.7,0.08199999999999999
37.0,530.7,0.076
38.0,563.4,0.069
39.0,598.4,0.062
40.0,637.5,0.053
41.0,682.3,0.045
42.0,734.0,0.039
43.0,792.6,0.034
44.0,857.0,0.032
46.0,953.0,0.028999999999999998
48.0,1053.0,0.03
50.0,1073.0,0.035
52.0,984.5,0.046
54.0,846.2,0.062
56.0,929.8,0.046
58.0,1790.0,0.026000000000000002
60.0,3924.0,0.028999999999999998
62.0,6949.0,0.019
64.0,9240.0,0.008
66.0,9058.0,0.01
68.0,6407.0,0.019
70.0,3117.0,0.025
