Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,8.878,0.048
9.0,8.547,0.027000000000000003
10.0,8.217,0.051
11.0,8.111,0.064
12.0,8.132,0.065
13.0,8.261,0.047
14.0,8.566,0.018000000000000002
15.0,9.051,0.033
16.0,9.646,0.033
17.0,10.31,0.068
18.0,11.04,0.09
19.0,11.85,0.083
20.0,12.7,0.052000000000000005
21.0,13.59,0.023
22.0,14.52,0.051
23.0,15.5,0.075
24.0,16.49,0.08900000000000001
25.0,17.47,0.09
26.0,18.42,0.079
27.0,19.38,0.063
28.0,20.38,0.05
29.0,21.42,0.043
30.0,22.47,0.043
31.0,23.49,0.045
32.0,24.48,0.046
33.0,25.45,0.045
34.0,26.36,0.043
35.0,27.16,0.043
36.0,27.75,0.044000000000000004
37.0,28.07,0.046
38.0,28.1,0.046
39.0,27.89,0.045
40.0,27.52,0.040999999999999995
41.0,27.08,0.036000000000000004
42.0,26.67,0.033
43.0,26.34,0.032
44.0,26.1,0.033
46.0,25.83,0.037000000000000005
48.0,25.44,0.04
50.0,24.85,0.037000000000000005
52.0,24.04,0.035
54.0,22.8,0.048
56.0,20.97,0.078
58.0,20.68,0.057
60.0,30.04,0.11699999999999999
62.0,51.39,0.10800000000000001
64.0,67.39,0.057
66.0,59.0,0.069
68.0,29.91,0.13
70.0,8.311,0.091
