Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,15.42,0.013000000000000001
9.0,14.81,0.023
10.0,14.68,0.032
11.0,14.62,0.047
12.0,14.38,0.059000000000000004
13.0,14.39,0.04
14.0,14.85,0.019
15.0,15.45,0.049
16.0,15.9,0.027999999999999997
17.0,16.19,0.059000000000000004
18.0,16.6,0.09699999999999999
19.0,17.43,0.084
20.0,18.77,0.042
21.0,20.4,0.016
22.0,21.95,0.043
23.0,23.23,0.07
24.0,24.18,0.08900000000000001
25.0,24.78,0.09300000000000001
26.0,25.07,0.076
27.0,25.19,0.047
28.0,25.33,0.027999999999999997
29.0,25.67,0.026000000000000002
30.0,26.32,0.036000000000000004
31.0,27.2,0.046
32.0,28.1,0.045
33.0,28.68,0.037000000000000005
34.0,28.75,0.03
35.0,28.29,0.027999999999999997
36.0,27.43,0.031
37.0,26.38,0.036000000000000004
38.0,25.31,0.039
39.0,24.32,0.04
40.0,23.49,0.036000000000000004
41.0,22.85,0.031
42.0,22.44,0.027000000000000003
43.0,22.26,0.03
44.0,22.21,0.034
46.0,22.03,0.038
48.0,20.82,0.038
50.0,18.57,0.034
52.0,16.69,0.032
54.0,15.8,0.036000000000000004
56.0,15.17,0.06
58.0,14.07,0.079
60.0,13.46,0.134
62.0,21.37,0.184
64.0,33.68,0.107
66.0,23.6,0.13
68.0,9.936,0.212
70.0,5.036,0.131
