Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,549.4,0.278
9.0,535.3,0.036000000000000004
10.0,521.1,0.17
11.0,522.4,0.217
12.0,540.8,0.20600000000000002
13.0,570.8,0.153
14.0,599.2,0.09
15.0,616.7,0.07200000000000001
16.0,632.1,0.109
17.0,671.8,0.172
18.0,764.2,0.205
19.0,922.4,0.174
20.0,1140.0,0.1
21.0,1401.0,0.040999999999999995
22.0,1690.0,0.087
23.0,1996.0,0.12
24.0,2314.0,0.133
25.0,2626.0,0.129
26.0,2900.0,0.115
27.0,3102.0,0.099
28.0,3210.0,0.085
29.0,3238.0,0.075
30.0,3230.0,0.071
31.0,3238.0,0.07
32.0,3305.0,0.07
33.0,3441.0,0.068
34.0,3627.0,0.065
35.0,3830.0,0.062
36.0,4017.0,0.059000000000000004
37.0,4166.0,0.055999999999999994
38.0,4273.0,0.054000000000000006
39.0,4351.0,0.051
40.0,4424.0,0.046
41.0,4526.0,0.04
42.0,4688.0,0.036000000000000004
43.0,4937.0,0.033
44.0,5279.0,0.031
46.0,5920.0,0.028999999999999998
48.0,6736.0,0.027999999999999997
50.0,7050.0,0.027999999999999997
52.0,6558.0,0.033
54.0,5548.0,0.045
56.0,5437.0,0.04
58.0,9141.0,0.022000000000000002
60.0,19470.0,0.026000000000000002
62.0,34780.0,0.017
64.0,46580.0,0.008
66.0,45760.0,0.009000000000000001
68.0,32390.0,0.017
70.0,16000.0,0.021
