Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,262.4,0.163
9.0,402.5,0.106
10.0,474.0,0.121
11.0,495.7,0.165
12.0,501.3,0.19699999999999998
13.0,495.8,0.151
14.0,499.0,0.085
15.0,542.8,0.18
16.0,615.9,0.133
17.0,665.8,0.213
18.0,686.0,0.301
19.0,735.5,0.257
20.0,844.6,0.133
21.0,967.0,0.057
22.0,1056.0,0.11699999999999999
23.0,1142.0,0.17300000000000001
24.0,1304.0,0.2
25.0,1561.0,0.179
26.0,1824.0,0.131
27.0,1975.0,0.087
28.0,1988.0,0.063
29.0,1947.0,0.065
30.0,1963.0,0.087
31.0,2080.0,0.09699999999999999
32.0,2263.0,0.085
33.0,2445.0,0.069
34.0,2578.0,0.06
35.0,2647.0,0.061
36.0,2664.0,0.068
37.0,2663.0,0.077
38.0,2679.0,0.081
39.0,2735.0,0.078
40.0,2829.0,0.071
41.0,2948.0,0.061
42.0,3088.0,0.055
43.0,3264.0,0.054000000000000006
44.0,3483.0,0.052000000000000005
46.0,3835.0,0.049
48.0,4115.0,0.046
50.0,4020.0,0.04
52.0,3628.0,0.039
54.0,2953.0,0.057999999999999996
56.0,1883.0,0.157
58.0,856.6,0.42100000000000004
60.0,3507.0,0.18100000000000002
62.0,13290.0,0.09699999999999999
64.0,29480.0,0.05
66.0,39350.0,0.033
68.0,17490.0,0.053
70.0,0.0,0.0
