Energy [MeV],Yield per lethargy [1/u],Relative error [-]
10.0,0.09109,0.106
11.0,0.09013,0.13
12.0,0.08881,0.134
13.0,0.08613,0.11199999999999999
14.0,0.08511,0.064
15.0,0.08724,0.11199999999999999
16.0,0.09137,0.147
17.0,0.09634,0.23399999999999999
18.0,0.1023,0.273
19.0,0.1099,0.24100000000000002
20.0,0.1192,0.161
21.0,0.1303,0.084
22.0,0.1424,0.128
23.0,0.1543,0.17
24.0,0.1651,0.195
25.0,0.1756,0.196
26.0,0.1874,0.177
27.0,0.2004,0.151
28.0,0.2132,0.132
29.0,0.2245,0.125
30.0,0.2355,0.13
31.0,0.2502,0.136
32.0,0.2722,0.134
33.0,0.3024,0.126
34.0,0.3381,0.12
35.0,0.374,0.11900000000000001
36.0,0.4044,0.121
37.0,0.4247,0.125
38.0,0.4335,0.127
39.0,0.4324,0.124
40.0,0.4258,0.11699999999999999
41.0,0.42,0.106
42.0,0.421,0.095
43.0,0.4324,0.08900000000000001
44.0,0.4542,0.085
46.0,0.499,0.08199999999999999
48.0,0.5545,0.077
50.0,0.5824,0.068
52.0,0.5836,0.065
54.0,0.5882,0.07400000000000001
56.0,0.6847,0.063
58.0,1.036,0.033
60.0,1.714,0.048
62.0,2.422,0.042
64.0,2.617,0.024
66.0,2.1,0.028999999999999998
68.0,1.24,0.061
70.0,0.5347,0.086
