Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,91.5,0.233
7.0,149.6,0.563
8.0,150.8,0.275
9.0,152.0,0.179
10.0,179.7,0.315
11.0,221.3,0.32299999999999995
12.0,270.1,0.271
13.0,328.3,0.149
14.0,396.9,0.026000000000000002
15.0,466.3,0.048
16.0,519.2,0.034
17.0,550.5,0.12
18.0,576.5,0.201
19.0,618.9,0.192
20.0,686.0,0.10300000000000001
21.0,770.6,0.027000000000000003
22.0,860.9,0.11
23.0,944.9,0.174
24.0,1011.0,0.20800000000000002
25.0,1046.0,0.215
26.0,1044.0,0.19899999999999998
27.0,1014.0,0.165
28.0,973.4,0.126
29.0,941.6,0.09699999999999999
30.0,924.0,0.08800000000000001
31.0,914.8,0.099
32.0,905.3,0.124
33.0,891.7,0.177
34.0,875.3,0.265
35.0,849.1,0.36
36.0,763.3,0.345
37.0,643.8,0.39799999999999996
38.0,1430.0,0.8759999999999999
39.0,5012.0,0.332
40.0,10070.0,0.054000000000000006
41.0,11270.0,0.1
42.0,7499.0,0.184
43.0,3220.0,0.23
44.0,1115.0,0.166
