Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,0.0,1.0
0.0324205,0.0,1.0
0.034083,-2.0958e-07,0.0
0.0358305,-5.3678e-07,0.0
0.0376675,-3.3971e-07,0.32719
0.039598999999999995,1.3961e-08,8.5974
0.0416295,-1.5951e-07,0.67968
0.0437635,-1.3436e-07,0.76095
0.046007,-1.5823e-07,0.59411
0.048366,-5.1818e-08,1.682
0.050846,-2.9527e-08,2.6197
0.053453,4.9972e-08,1.3433
0.0561935,1.3662e-07,0.4421
0.0590745,1.2129e-07,0.43802
0.062103500000000006,1.5863e-07,0.3092
0.0652875,3.3585e-07,0.13148
0.0686345,3.6184e-07,0.11475
0.0721535,3.929e-07,0.096187
0.075853,3.7809e-07,0.09539
0.07974200000000001,3.1089e-07,0.10575
0.0838305,3.5844e-07,0.085841
0.088129,3.133e-07,0.091323
0.0926475,3.0738e-07,0.088012
0.0973975,2.8091e-07,0.08885
0.10239100000000001,3.4708e-07,0.070562
0.10764,4.3895e-07,0.057328
0.11316,5.5498e-07,0.046366
0.11896,7.1198e-07,0.037665
0.12506,7.9634e-07,0.034441
0.131475,9.464e-07,0.029402
0.13821499999999998,8.8508e-07,0.032107
0.14529999999999998,1.0561e-06,0.026806
0.15275,8.9644e-07,0.029727
0.16058,8.0534e-07,0.029024
0.16881,7.4073e-07,0.029948
0.17747,7.2685e-07,0.029861
0.18657,7.0028e-07,0.029691
0.196135,5.9928e-07,0.031374
0.20618999999999998,5.6697e-07,0.032618
0.21676,5.6837e-07,0.032012
0.227875,6.7829e-07,0.028295
0.23956,8.0675e-07,0.025263
0.251845,8.583e-07,0.024469
0.26475499999999996,1.0323e-06,0.021432
0.278325,1.2461e-06,0.019058
0.292595,1.43e-06,0.01744
0.3076,1.3642e-06,0.018253
0.32337000000000005,1.4862e-06,0.017245
0.33995,1.2356e-06,0.019528
0.35738000000000003,1.0592e-06,0.021164
0.37570000000000003,9.71e-07,0.022445
0.394965,6.9764e-07,0.027316
0.415215,3.9902e-07,0.042602
0.43650500000000003,4.268e-07,0.0399
0.458885,5.0142e-07,0.036208
0.48241,5.6861e-07,0.031906
0.507145,5.0057e-07,0.033662
0.533145,4.8959e-07,0.034275
0.56048,6.321e-07,0.028532
0.58922,8.1508e-07,0.02417
0.6194299999999999,9.7787e-07,0.021288
0.6511899999999999,1.043e-06,0.020758
0.68458,7.4012e-07,0.026526
0.7196750000000001,4.3647e-07,0.038461
0.75657,2.0127e-07,0.071044
0.79536,1.5744e-07,0.088279
0.83614,1.8976e-07,0.077913
0.8790100000000001,2.1485e-07,0.068721
0.92408,2.8232e-07,0.057446
0.97146,3.0027e-07,0.055267
1.02127,1.6348e-07,0.094446
1.07365,1.5433e-07,0.0982
1.1287,1.6003e-07,0.097358
1.18655,1.632e-07,0.096732
1.2473999999999998,8.5558e-08,0.18306
1.31135,3.3261e-08,0.43476
1.3785500000000002,3.3062e-08,0.45002
1.4492500000000001,2.0786e-08,0.72028
1.5235500000000002,3.3133e-08,0.44746
1.60165,4.7625e-08,0.30245
1.6838,6.0937e-09,2.4206
1.7701500000000001,1.593e-08,0.91498
1.8609,4.5888e-08,0.30355
1.9563,2.122e-08,0.60885
2.0566,1.5865e-08,0.80971
2.16205,1.2959e-08,0.95924
2.2729,2.6469e-08,0.43061
2.3894,1.3132e-08,0.83674
2.5119,2.4801e-08,0.43856
2.6407,2.3303e-08,0.38803
2.7761,1.5338e-08,0.59245
2.91845,2.0372e-08,0.43855
3.06805,6.0693e-09,1.6453
3.2253499999999997,1.0761e-08,0.89748
3.3907499999999997,1.0204e-08,0.91494
3.5646,1.0731e-08,0.82486
3.74735,4.9608e-09,1.6634
3.93945,-1.5167e-09,5.3255
4.14145,8.1403e-09,0.96303
4.3538,5.8392e-09,1.268
4.577,1.6362e-08,0.47995
4.81165,2.0047e-08,0.36958
5.05835,-2.9411e-09,2.787
5.3177,3.1836e-09,2.7175
5.59035,6.2632e-09,1.2882
5.877000000000001,-2.0519e-10,37.923
6.1783,-5.7102e-09,1.6004
6.49505,-2.0663e-09,4.3478
6.8281,-4.3202e-10,20.935
7.1782,1.7405e-08,0.44354
7.5462,1.8732e-08,0.49221
7.9331,-3.698e-09,2.4991
8.339849999999998,-1.0697e-10,91.039
8.76745,-1.1815e-08,0.91104
9.21695,1.4807e-08,0.72709
9.689499999999999,-1.2463e-08,0.90525
10.186350000000001,5.0327e-09,1.7367
10.7085,-1.6833e-10,47.383
11.2575,5.1769e-09,1.5565
11.835,1.1079e-08,0.82118
12.442,1.7689e-08,0.45374
13.0795,2.2294e-08,0.38952
13.75,2.0313e-08,0.52017
14.455,1.4058e-07,0.10197
15.196000000000002,1.2325e-07,0.10773
15.9755,-1.0884e-08,0.81547
16.7945,1.6106e-09,3.8731
17.6555,-2.9771e-09,2.139
18.561,2.7422e-09,1.8798
19.5125,3.7277e-09,1.5115
20.464,1.3528e-09,3.5323
