Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,3.857,0.77
7.0,4.562,0.401
8.0,4.218,0.038
9.0,3.884,0.1
10.0,3.817,0.13699999999999998
11.0,4.084,0.19
12.0,4.485,0.20199999999999999
13.0,4.742,0.124
14.0,4.944,0.051
15.0,5.228,0.149
16.0,5.491,0.071
17.0,5.646,0.158
18.0,5.82,0.28300000000000003
19.0,6.141,0.245
20.0,6.583,0.11599999999999999
21.0,7.102,0.040999999999999995
22.0,7.717,0.13
23.0,8.405,0.212
24.0,9.052,0.268
25.0,9.555,0.275
26.0,9.899,0.21899999999999997
27.0,10.15,0.127
28.0,10.39,0.063
29.0,10.64,0.055999999999999994
30.0,10.85,0.09
31.0,10.93,0.133
32.0,10.82,0.156
33.0,10.52,0.17300000000000001
34.0,10.13,0.209
35.0,10.17,0.201
36.0,12.54,0.111
37.0,19.96,0.309
38.0,32.92,0.225
39.0,49.98,0.07400000000000001
40.0,64.08,0.06
41.0,60.85,0.064
42.0,39.81,0.066
43.0,18.05,0.1
44.0,6.384,0.158
