Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,0.5873,0.545
7.0,0.7319,0.26899999999999996
8.0,0.6952,0.025
9.0,0.6454,0.065
10.0,0.6439,0.087
11.0,0.6622,0.126
12.0,0.6706,0.146
13.0,0.6726,0.094
14.0,0.6809,0.040999999999999995
15.0,0.6907,0.121
16.0,0.6917,0.063
17.0,0.6938,0.142
18.0,0.722,0.248
19.0,0.7861,0.207
20.0,0.8708,0.095
21.0,0.9532,0.035
22.0,1.019,0.10800000000000001
23.0,1.063,0.18100000000000002
24.0,1.093,0.24
25.0,1.118,0.254
26.0,1.145,0.204
27.0,1.174,0.11900000000000001
28.0,1.206,0.057999999999999996
29.0,1.243,0.051
30.0,1.294,0.081
31.0,1.361,0.115
32.0,1.44,0.127
33.0,1.512,0.133
34.0,1.559,0.151
35.0,1.549,0.141
36.0,1.467,0.14800000000000002
37.0,1.568,0.485
38.0,2.641,0.3
39.0,4.882,0.121
40.0,6.529,0.067
41.0,5.927,0.10800000000000001
42.0,3.88,0.106
43.0,2.025,0.122
44.0,0.988,0.21100000000000002
