Energy [MeV],Yield per lethargy [1/u],Relative error [-]
9.0,2.274,0.057999999999999996
10.0,2.821,0.027999999999999997
11.0,2.935,0.035
12.0,2.924,0.054000000000000006
13.0,2.809,0.064
14.0,2.709,0.049
15.0,2.69,0.095
16.0,2.783,0.066
17.0,2.964,0.091
18.0,3.125,0.111
19.0,3.211,0.083
20.0,3.202,0.048
21.0,3.127,0.04
22.0,3.138,0.054000000000000006
23.0,3.291,0.073
24.0,3.471,0.111
25.0,3.604,0.136
26.0,3.7,0.10099999999999999
27.0,3.752,0.057999999999999996
28.0,3.757,0.076
29.0,3.74,0.055999999999999994
30.0,3.71,0.10099999999999999
31.0,3.667,0.107
32.0,3.658,0.08
33.0,3.744,0.065
34.0,3.906,0.055
35.0,4.03,0.059000000000000004
36.0,4.018,0.07
37.0,3.883,0.086
38.0,3.713,0.094
39.0,3.586,0.09
40.0,3.53,0.08
41.0,3.532,0.073
42.0,3.555,0.07
43.0,3.554,0.083
44.0,3.505,0.09300000000000001
46.0,3.359,0.09699999999999999
48.0,3.218,0.09300000000000001
50.0,3.18,0.067
52.0,2.858,0.075
54.0,2.286,0.085
56.0,1.94,0.114
58.0,1.965,0.09300000000000001
60.0,2.388,0.122
62.0,3.137,0.127
64.0,4.327,0.083
66.0,5.266,0.07200000000000001
68.0,4.089,0.087
70.0,1.843,0.071
