Energy [MeV],Yield per lethargy [1/u],Relative error [-]
9.0,12.44,0.077
10.0,17.92,0.034
11.0,18.62,0.047
12.0,18.23,0.078
13.0,18.64,0.081
14.0,18.21,0.059000000000000004
15.0,17.36,0.131
16.0,17.45,0.081
17.0,18.14,0.125
18.0,18.83,0.162
19.0,19.92,0.114
20.0,21.73,0.054000000000000006
21.0,23.7,0.038
22.0,25.39,0.054000000000000006
23.0,26.85,0.077
24.0,28.22,0.122
25.0,30.13,0.145
26.0,32.82,0.098
27.0,34.56,0.046
28.0,33.27,0.067
29.0,30.28,0.05
30.0,29.47,0.102
31.0,32.34,0.099
32.0,36.53,0.066
33.0,39.11,0.048
34.0,39.34,0.039
35.0,38.08,0.044000000000000004
36.0,36.1,0.054000000000000006
37.0,33.76,0.07
38.0,31.62,0.08
39.0,30.37,0.078
40.0,30.23,0.069
41.0,30.8,0.062
42.0,31.64,0.059000000000000004
43.0,32.83,0.069
44.0,34.82,0.07200000000000001
46.0,38.52,0.064
48.0,38.6,0.057
50.0,32.9,0.05
52.0,29.37,0.057
54.0,27.54,0.054000000000000006
56.0,25.65,0.068
58.0,23.72,0.061
60.0,25.81,0.08900000000000001
62.0,42.12,0.075
64.0,69.81,0.042
66.0,82.88,0.038
68.0,65.7,0.044000000000000004
70.0,36.91,0.032
