Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,1.258,0.21100000000000002
7.0,1.617,0.10099999999999999
8.0,1.56,0.099
9.0,1.416,0.025
10.0,1.339,0.035
11.0,1.309,0.053
12.0,1.285,0.063
13.0,1.265,0.042
14.0,1.265,0.019
15.0,1.284,0.054000000000000006
16.0,1.301,0.027999999999999997
17.0,1.306,0.061
18.0,1.311,0.11199999999999999
19.0,1.335,0.10099999999999999
20.0,1.378,0.05
21.0,1.42,0.02
22.0,1.447,0.063
23.0,1.458,0.11
24.0,1.455,0.15
25.0,1.426,0.165
26.0,1.367,0.141
27.0,1.289,0.08900000000000001
28.0,1.217,0.048
29.0,1.172,0.045
30.0,1.15,0.075
31.0,1.14,0.113
32.0,1.123,0.132
33.0,1.086,0.147
34.0,1.016,0.18
35.0,0.9192,0.18899999999999997
36.0,0.9061,0.141
37.0,1.36,0.396
38.0,2.635,0.24
39.0,3.993,0.085
40.0,4.118,0.08199999999999999
41.0,3.168,0.115
42.0,2.114,0.11800000000000001
43.0,1.245,0.14300000000000002
44.0,0.6266,0.17
46.0,0.2764,0.223
48.0,0.1467,0.251
