Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,7.637,0.39
7.0,10.72,0.171
8.0,11.34,0.013999999999999999
9.0,10.86,0.036000000000000004
10.0,10.49,0.05
11.0,10.49,0.07400000000000001
12.0,10.52,0.086
13.0,10.31,0.057
14.0,10.04,0.026000000000000002
15.0,10.09,0.077
16.0,10.6,0.037000000000000005
17.0,11.31,0.081
18.0,11.78,0.141
19.0,11.94,0.127
20.0,12.03,0.063
21.0,12.27,0.024
22.0,12.58,0.08
23.0,12.8,0.14
24.0,12.9,0.18899999999999997
25.0,12.97,0.203
26.0,13.16,0.165
27.0,13.41,0.09699999999999999
28.0,13.54,0.048
29.0,13.43,0.043
30.0,13.07,0.07400000000000001
31.0,12.52,0.115
32.0,11.76,0.14300000000000002
33.0,10.7,0.171
34.0,9.402,0.22399999999999998
35.0,9.106,0.215
36.0,13.96,0.13
37.0,26.77,0.247
38.0,39.95,0.177
39.0,49.5,0.099
40.0,61.27,0.062
41.0,62.4,0.085
42.0,41.83,0.08199999999999999
43.0,17.61,0.113
44.0,5.473,0.312
46.0,1.957,0.445
48.0,1.112,0.41600000000000004
