Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,0.0,1.0
0.0324205,-2.1624e-05,0.039841
0.034083,-6.0202e-06,0.2006
0.0358305,-2.17e-06,0.50996
0.0376675,-1.7146e-06,0.56363
0.039598999999999995,-3.1557e-06,0.27489
0.0416295,-2.2688e-06,0.33975
0.0437635,-2.743e-06,0.26282
0.046007,-2.5589e-06,0.25679
0.048366,-7.5812e-07,0.81975
0.050846,-1.6093e-06,0.34022
0.053453,-1.0618e-06,0.44564
0.0561935,-1.2198e-06,0.34128
0.0590745,-4.4037e-07,0.82409
0.062103500000000006,-7.1544e-07,0.45741
0.0652875,-2.8655e-07,1.0043
0.0686345,-7.5199e-07,0.34201
0.0721535,-2.7844e-07,0.82912
0.075853,-3.3863e-07,0.62756
0.07974200000000001,-2.9447e-07,0.65417
0.0838305,-1.9746e-07,0.92152
0.088129,-2.9652e-07,0.55994
0.0926475,-5.1755e-07,0.30281
0.0973975,-1.4874e-07,0.99186
0.10239100000000001,-1.7079e-07,0.81112
0.10764,-1.3634e-07,0.95561
0.11316,1.7331e-07,0.71997
0.11896,1.7175e-09,68.217
0.12506,1.7588e-07,0.63093
0.131475,2.7879e-08,3.7841
0.13821499999999998,7.0281e-08,1.442
0.14529999999999998,1.6315e-07,0.59427
0.15275,1.8759e-07,0.49523
0.16058,3.0897e-07,0.29259
0.16881,4.7978e-07,0.18249
0.17747,5.4624e-07,0.15664
0.18657,3.4079e-07,0.24167
0.196135,3.4854e-07,0.23296
0.20618999999999998,3.5377e-07,0.22424
0.21676,4.8948e-07,0.16079
0.227875,6.3044e-07,0.12258
0.23956,5.8376e-07,0.12979
0.251845,5.6445e-07,0.13397
0.26475499999999996,6.9279e-07,0.10734
0.278325,7.6293e-07,0.096268
0.292595,8.6734e-07,0.083933
0.3076,8.3322e-07,0.086984
0.32337000000000005,9.211e-07,0.078353
0.33995,8.6422e-07,0.082769
0.35738000000000003,1.0501e-06,0.068067
0.37570000000000003,1.1095e-06,0.064597
0.394965,1.2401e-06,0.059306
0.415215,1.6385e-06,0.046345
0.43650500000000003,1.6583e-06,0.046116
0.458885,1.7845e-06,0.042877
0.48241,1.761e-06,0.042574
0.507145,1.7426e-06,0.042363
0.533145,1.6102e-06,0.044413
0.56048,1.5662e-06,0.044603
0.58922,1.5102e-06,0.045548
0.6194299999999999,1.5628e-06,0.043569
0.6511899999999999,1.3176e-06,0.052067
0.68458,1.565e-06,0.044463
0.7196750000000001,1.4434e-06,0.047884
0.75657,1.3584e-06,0.050393
0.79536,1.4271e-06,0.047726
0.83614,1.4196e-06,0.047878
0.8790100000000001,1.3709e-06,0.049391
0.92408,1.5747e-06,0.043525
0.97146,1.4133e-06,0.048783
1.02127,1.4399e-06,0.048484
1.07365,1.3656e-06,0.050662
1.1287,1.304e-06,0.053077
1.18655,1.362e-06,0.050668
1.2473999999999998,1.4271e-06,0.048797
1.31135,1.2598e-06,0.055191
1.3785500000000002,1.1162e-06,0.062365
1.4492500000000001,1.016e-06,0.068908
1.5235500000000002,1.1247e-06,0.062549
1.60165,1.0454e-06,0.067875
1.6838,9.3804e-07,0.075012
1.7701500000000001,1.0088e-06,0.05556
1.8609,8.4629e-07,0.063039
1.9563,7.8602e-07,0.065289
2.0566,5.8725e-07,0.078386
2.16205,5.0307e-07,0.090158
2.2729,5.1412e-07,0.08638
2.3894,4.3703e-07,0.099086
2.5119,3.7371e-07,0.11448
2.6407,3.1603e-07,0.1299
2.7761,3.2071e-07,0.12528
2.91845,1.857e-07,0.21815
3.06805,1.573e-07,0.25663
3.2253499999999997,1.569e-07,0.25944
3.3907499999999997,9.6871e-08,0.43533
3.5646,1.1173e-07,0.38758
3.74735,1.1968e-07,0.37122
3.93945,1.7606e-07,0.25753
4.14145,1.4182e-07,0.33077
4.3538,1.2146e-07,0.38011
4.577,4.5003e-08,1.0244
4.81165,7.0999e-08,0.59288
5.05835,1.154e-07,0.34597
5.3177,3.5811e-08,1.0856
5.59035,1.2393e-07,0.30925
5.877000000000001,9.6145e-08,0.41213
6.1783,1.3232e-07,0.33018
6.49505,1.1845e-07,0.38789
6.8281,1.0312e-07,0.47875
7.1782,1.5866e-07,0.34935
7.5462,2.9705e-07,0.21361
7.9331,3.5292e-07,0.20144
8.339849999999998,3.7458e-07,0.19485
8.76745,6.5616e-08,1.0575
9.21695,8.7498e-08,0.84051
9.689499999999999,1.2303e-07,0.65323
10.186350000000001,1.4509e-07,0.5774
10.7085,1.7717e-07,0.5073
11.2575,2.3095e-07,0.4218
11.835,4.9918e-08,2.0252
12.442,2.7663e-07,0.35954
13.0795,2.169e-07,0.45787
13.75,1.3381e-07,0.65409
14.455,3.7985e-07,0.19628
15.196000000000002,2.7075e-07,0.22715
15.9755,2.3322e-07,0.18316
16.7945,1.3257e-07,0.23827
17.6555,9.2278e-08,0.29758
18.561,6.0771e-08,0.41674
19.5125,4.0342e-08,0.57667
20.464,6.1567e-08,0.38483
