Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
22,Ti,titanium,50, 0.0518(2),g,0.0518,22050
23,V,vanadium,50, 0.002 50(10),g,0.0025,23050
23,V,vanadium,51, 0.997 50(10),g,0.9975,23051
24,Cr,chromium,50, 0.043 45(13),g,0.04345,24050
24,Cr,chromium,52, 0.837 89(18),g,0.8378899999999999,24052
24,Cr,chromium,53, 0.095 01(17),g,0.09501,24053
24,Cr,chromium,54, 0.023 65(7),g,0.02365,24054
25,Mn,manganese,55, 1,g,1.0,25055
26,Fe,iron,54, 0.058 45(105),g,0.05845,26054
26,Fe,iron,56, 0.917 54(106),g,0.9175399999999999,26056
26,Fe,iron,57, 0.021 19(29),g,0.02119,26057
26,Fe,iron,58, 0.002 82(12),g,0.00282,26058
27,Co,cobalt,59, 1,g,1.0,27059
28,Ni,nickel,58, 0.680 769(190),r,0.680769,28058
28,Ni,nickel,60, 0.262 231(150),r,0.262231,28060
28,Ni,nickel,61, 0.011 399(13),r,0.011399,28061
28,Ni,nickel,62, 0.036 345(40),r,0.036345,28062
28,Ni,nickel,64, 0.009 256(19),r,0.009256,28064
29,Cu,copper,63, 0.6915(15),r,0.6915,29063
29,Cu,copper,65, 0.3085(15),r,0.3085,29065
30,Zn,zinc,64, 0.4917(75),r,0.4917,30064
30,Zn,zinc,66, 0.2773(98),r,0.2773,30066
30,Zn,zinc,67, 0.0404(16),r,0.0404,30067
30,Zn,zinc,68, 0.1845(63),r,0.1845,30068
30,Zn,zinc,70, 0.0061(10),r,0.0061,30070
31,Ga,gallium,69, 0.601 08(50),r,0.6010800000000001,31069
31,Ga,gallium,71, 0.398 92(50),r,0.39892,31071
32,Ge,germanium,70, 0.2052(19),r,0.2052,32070
32,Ge,germanium,72, 0.2745(15),r,0.2745,32072
32,Ge,germanium,73, 0.0776(8),r,0.0776,32073
32,Ge,germanium,74, 0.3652(12),r,0.3652,32074
32,Ge,germanium,76, 0.0775(12),r,0.0775,32076
33,As,arsenic,75, 1,r,1.0,33075
34,Se,selenium,74, 0.0086(3),r,0.0086,34074
34,Se,selenium,76, 0.0923(7),r,0.0923,34076
34,Se,selenium,77, 0.0760(7),r,0.076,34077
34,Se,selenium,78, 0.2369(22),r,0.2369,34078
34,Se,selenium,80, 0.4980(36),r,0.498,34080
34,Se,selenium,82, 0.0882(15),r,0.0882,34082
35,Br,bromine,79,"[0.505, 0.508]",r,0.5065,35079
35,Br,bromine,81,"[0.492, 0.495]",r,0.4935,35081
36,Kr,krypton,78, 0.003 55(3),g m,0.00355,36078
36,Kr,krypton,80, 0.022 86(10),g m,0.02286,36080
36,Kr,krypton,82, 0.115 93(31),g m,0.11592999999999999,36082
36,Kr,krypton,83, 0.115 00(19),g m,0.115,36083
36,Kr,krypton,84, 0.569 87(15),g m,0.56987,36084
36,Kr,krypton,86, 0.172 79(41),g m,0.17279,36086
37,Rb,rubidium,85, 0.7217(2),g,0.7217,37085
37,Rb,rubidium,87, 0.2783(2),g,0.2783,37087
38,Sr,strontium,84, 0.0056(2),g r,0.0056,38084
38,Sr,strontium,86, 0.0986(20),g r,0.0986,38086
38,Sr,strontium,87, 0.0700(20),g r,0.07,38087
38,Sr,strontium,88, 0.8258(35),g r,0.8258,38088
39,Y,yttrium,89, 1,g r,1.0,39089
40,Zr,zirconium,90, 0.5145(4),g,0.5145,40090
40,Zr,zirconium,91, 0.1122(5),g,0.1122,40091
40,Zr,zirconium,92, 0.1715(3),g,0.1715,40092
40,Zr,zirconium,94, 0.1738(4),g,0.1738,40094
40,Zr,zirconium,96, 0.0280(2),g,0.027999999999999997,40096
41,Nb,niobium,93, 1,g,1.0,41093
42,Mo,molybdenum,92, 0.146 49(106),g,0.14649,42092
42,Mo,molybdenum,94, 0.091 87(33),g,0.09187000000000001,42094
42,Mo,molybdenum,95, 0.158 73(30),g,0.15872999999999998,42095
42,Mo,molybdenum,96, 0.166 73(8),g,0.16673,42096
42,Mo,molybdenum,97, 0.095 82(15),g,0.09582,42097
42,Mo,molybdenum,98, 0.242 92(80),g,0.24291999999999997,42098
42,Mo,molybdenum,100, 0.097 44(65),g,0.09744,42100
43,Tc,technetium,97,1,g,1.0,43097
44,Ru,ruthenium,96, 0.0554(14),g,0.0554,44096
44,Ru,ruthenium,98, 0.0187(3),g,0.0187,44098
44,Ru,ruthenium,99, 0.1276(14),g,0.1276,44099
44,Ru,ruthenium,100, 0.1260(7),g,0.126,44100
44,Ru,ruthenium,101, 0.1706(2),g,0.1706,44101
44,Ru,ruthenium,102, 0.3155(14),g,0.3155,44102
44,Ru,ruthenium,104, 0.1862(27),g,0.1862,44104
45,Rh,rhodium,103, 1,g,1.0,45103
46,Pd,palladium,102, 0.0102(1),g,0.0102,46102
46,Pd,palladium,104, 0.1114(8),g,0.1114,46104
46,Pd,palladium,105, 0.2233(8),g,0.2233,46105
46,Pd,palladium,106, 0.2733(3),g,0.2733,46106
46,Pd,palladium,108, 0.2646(9),g,0.2646,46108
