Origin: https://ciaaw.org/isotopic-abundances.html

Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx,Atomic Mass
34,Se,selenium,77, 0.0760(7),r,0.076,34077,76.91991415
34,Se,selenium,78, 0.2369(22),r,0.2369,34078,77.91730928
34,Se,selenium,80, 0.4980(36),r,0.498,34080,79.9165218
34,Se,selenium,82, 0.0882(15),r,0.0882,34082,81.9166995
35,Br,bromine,79,"[0.505, 0.508]",r,0.5065,35079,78.9183376
35,Br,bromine,81,"[0.492, 0.495]",r,0.4935,35081,80.9162897
36,Kr,krypton,78, 0.003 55(3),g m,0.00355,36078,77.92036494
36,Kr,krypton,80, 0.022 86(10),g m,0.02286,36080,79.91637808
36,Kr,krypton,82, 0.115 93(31),g m,0.11592999999999999,36082,81.91348273
36,Kr,krypton,83, 0.115 00(19),g m,0.115,36083,82.91412716
36,Kr,krypton,84, 0.569 87(15),g m,0.56987,36084,83.91149773
36,Kr,krypton,86, 0.172 79(41),g m,0.17279,36086,85.91061063
37,Rb,rubidium,85, 0.7217(2),g,0.7217,37085,84.91178974
37,Rb,rubidium,87, 0.2783(2),g,0.2783,37087,86.90918053
38,Sr,strontium,84, 0.0056(2),g r,0.0056,38084,83.9134191
38,Sr,strontium,86, 0.0986(20),g r,0.0986,38086,85.9092606
38,Sr,strontium,87, 0.0700(20),g r,0.07,38087,86.9088775
38,Sr,strontium,88, 0.8258(35),g r,0.8258,38088,87.9056125
39,Y,yttrium,89, 1,g r,1.0,39089,88.9058403
40,Zr,zirconium,90, 0.5145(4),g,0.5145,40090,89.9046977
40,Zr,zirconium,91, 0.1122(5),g,0.1122,40091,90.9056396
40,Zr,zirconium,92, 0.1715(3),g,0.1715,40092,91.9050347
40,Zr,zirconium,94, 0.1738(4),g,0.1738,40094,93.9063108
40,Zr,zirconium,96, 0.0280(2),g,0.027999999999999997,40096,95.9082714
41,Nb,niobium,93, 1,g,1.0,41093,92.906373
42,Mo,molybdenum,92, 0.146 49(106),g,0.14649,42092,91.90680796
42,Mo,molybdenum,94, 0.091 87(33),g,0.09187000000000001,42094,93.9050849
42,Mo,molybdenum,95, 0.158 73(30),g,0.15872999999999998,42095,94.90583877
