Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.06833,0.214
9.0,0.09507,0.106
10.0,0.1014,0.055999999999999994
11.0,0.09638,0.078
12.0,0.09085,0.098
13.0,0.09001,0.11199999999999999
14.0,0.09242,0.10400000000000001
15.0,0.09208,0.078
16.0,0.08782,0.14300000000000002
17.0,0.08479,0.182
18.0,0.08674,0.255
19.0,0.09315,0.28800000000000003
20.0,0.1017,0.24100000000000002
21.0,0.1092,0.154
22.0,0.1124,0.09699999999999999
23.0,0.1107,0.14300000000000002
24.0,0.1097,0.2
25.0,0.119,0.23800000000000002
26.0,0.1423,0.21600000000000003
27.0,0.1702,0.165
28.0,0.1855,0.131
29.0,0.1794,0.12
30.0,0.1598,0.141
31.0,0.1439,0.196
32.0,0.1432,0.22399999999999998
33.0,0.1559,0.195
34.0,0.1731,0.163
35.0,0.1884,0.157
36.0,0.2009,0.171
37.0,0.2116,0.19399999999999998
38.0,0.2207,0.21100000000000002
39.0,0.2267,0.215
40.0,0.228,0.20800000000000002
41.0,0.2243,0.193
42.0,0.2178,0.177
43.0,0.2139,0.168
44.0,0.22,0.165
46.0,0.2416,0.156
48.0,0.2999,0.13
50.0,0.376,0.105
52.0,0.3992,0.085
54.0,0.3732,0.079
56.0,0.3154,0.111
58.0,0.2211,0.28800000000000003
60.0,0.1357,0.596
62.0,0.4566,0.315
64.0,1.569,0.185
66.0,2.575,0.109
68.0,2.274,0.078
70.0,0.8067,0.177
