Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,1.1615e-07,0.64212
0.5007699999999999,1.4405e-07,0.51332
0.5134449999999999,3.2402e-07,0.20924
0.52644,3.3395e-07,0.19962
0.5397700000000001,3.0187e-07,0.21423
0.553435,3.4901e-07,0.17958
0.567445,3.3861e-07,0.17918
0.58181,1.9272e-07,0.30933
0.596535,1.8668e-07,0.31092
0.61164,3.1057e-07,0.17516
0.6271249999999999,3.0384e-07,0.1889
0.643,2.7611e-07,0.19654
0.65928,2.7513e-07,0.19762
0.67597,4.0075e-07,0.13272
0.69308,4.3081e-07,0.119
0.7106250000000001,4.0115e-07,0.12674
0.728615,3.3783e-07,0.14411
0.7470600000000001,3.6816e-07,0.1338
0.76597,3.4927e-07,0.13708
0.7853600000000001,3.8371e-07,0.11535
0.805245,3.1999e-07,0.14121
0.82563,3.321e-07,0.13698
0.84653,4.3566e-07,0.10743
0.8679600000000001,3.99e-07,0.11667
0.88993,5.0114e-07,0.093369
0.912455,3.8956e-07,0.11754
0.935555,5.1015e-07,0.090764
0.9592400000000001,4.0803e-07,0.11063
0.983525,4.2849e-07,0.11086
1.00841,4.5652e-07,0.10485
1.03395,3.9373e-07,0.12261
1.06015,4.2427e-07,0.10848
1.087,4.4817e-07,0.10962
1.1145,4.6485e-07,0.10096
1.1427,5.4415e-07,0.086218
1.17165,4.7367e-07,0.099691
1.2012999999999998,4.5813e-07,0.10028
1.2317,5.0718e-07,0.094164
1.2629000000000001,5.4176e-07,0.09096
1.2948499999999998,5.2266e-07,0.087526
1.3276,4.8454e-07,0.10239
1.3612000000000002,5.9202e-07,0.089364
1.39565,4.9807e-07,0.099254
1.431,5.439e-07,0.094197
1.46725,5.6328e-07,0.085768
1.5044,5.483e-07,0.094014
1.5425,6.3255e-07,0.079439
1.58155,5.6899e-07,0.086787
1.62155,5.3992e-07,0.093607
1.6625999999999999,5.8105e-07,0.08974
1.7046999999999999,5.5286e-07,0.095181
1.7478500000000001,5.8211e-07,0.088468
1.7921,5.9968e-07,0.086795
1.83745,6.3474e-07,0.078864
1.88395,6.0648e-07,0.083777
1.9316499999999999,5.9425e-07,0.085816
1.98055,5.8257e-07,0.086897
2.0307,6.5808e-07,0.077047
2.0820999999999996,5.7937e-07,0.089154
2.1348000000000003,6.025e-07,0.087254
2.1888500000000004,5.4376e-07,0.091762
2.24425,5.6766e-07,0.087292
2.3011,5.263e-07,0.094049
2.35935,5.7932e-07,0.085454
2.41905,5.8226e-07,0.084614
2.4802999999999997,5.769e-07,0.08218
2.5431,4.0822e-07,0.11221
2.6075,3.6247e-07,0.12665
2.6734999999999998,3.7556e-07,0.11967
2.74115,3.5462e-07,0.12108
2.81055,2.2118e-07,0.19455
2.8817,3.8899e-07,0.10499
2.95465,4.1849e-07,0.10901
3.0294499999999998,3.6097e-07,0.12801
3.10615,4.5331e-07,0.101
3.1848,2.3313e-07,0.19261
3.2654,2.7934e-07,0.14503
3.3480499999999997,3.232e-07,0.12768
3.43285,3.1241e-07,0.13709
3.51975,3.3852e-07,0.12364
3.60885,3.0749e-07,0.14603
3.70025,4.7449e-07,0.095632
3.7939,4.8033e-07,0.10059
3.8899,5.2297e-07,0.093865
3.9883499999999996,6.1909e-07,0.08145
4.08935,5.7786e-07,0.088473
4.1929,6.1258e-07,0.089506
4.29905,6.7037e-07,0.077991
4.4079,6.7234e-07,0.082025
4.51945,8.4057e-07,0.068948
4.63385,9.6637e-07,0.064281
4.75115,1.1084e-06,0.058988
4.8713999999999995,1.1641e-06,0.055697
4.99475,1.0336e-06,0.06237
5.1212,1.1947e-06,0.054641
5.25085,1.1649e-06,0.062057
5.3838,9.3598e-07,0.068248
5.5201,8.1976e-07,0.072799
5.659800000000001,6.6239e-07,0.085954
5.803050000000001,5.7276e-07,0.096461
5.95,5.724e-07,0.097153
6.10065,4.4908e-07,0.11372
6.25505,4.7507e-07,0.10981
6.413399999999999,4.862e-07,0.10998
6.575749999999999,7.4158e-07,0.083931
6.7422,1.0087e-06,0.06687
6.9129000000000005,9.4962e-07,0.073081
7.087899999999999,8.6924e-07,0.078312
7.26735,5.8201e-07,0.098905
7.4513,3.6237e-07,0.13987
7.639900000000001,3.4968e-07,0.14585
7.8332999999999995,2.8225e-07,0.19022
8.0316,3.3128e-07,0.1673
8.23495,4.8815e-07,0.11987
8.443449999999999,6.8672e-07,0.094582
8.6572,6.5948e-07,0.097759
8.876349999999999,9.2906e-07,0.080226
9.10105,1.2338e-06,0.069481
9.33145,1.4811e-06,0.062814
9.56765,2.2241e-06,0.047909
9.80985,2.8589e-06,0.043854
10.05825,4.0794e-06,0.035075
10.312999999999999,4.066e-06,0.035466
10.574,2.8083e-06,0.044103
10.8415,1.3717e-06,0.067277
11.116,6.3949e-07,0.108
11.3975,5.0497e-07,0.13124
11.686,6.1249e-07,0.12246
11.982,6.0616e-07,0.11273
12.285499999999999,6.9087e-07,0.10436
12.596499999999999,8.0587e-07,0.10102
12.915,1.2255e-06,0.076035
13.2415,2.0739e-06,0.05518
13.577,3.5462e-06,0.041184
13.921,6.7212e-06,0.029602
14.2735,1.2434e-05,0.021484
14.635,2.0895e-05,0.016477
15.0055,2.2331e-05,0.01588
15.385,1.1232e-05,0.022258
15.7745,2.7409e-06,0.045203
16.174,5.5158e-07,0.11094
16.583,2.9838e-07,0.14203
17.003,1.1042e-07,0.23545
17.433500000000002,-2.3437e-08,1.0854
17.874499999999998,8.5812e-09,3.1103
18.326999999999998,-2.6803e-08,0.9181
18.791,-2.0614e-08,0.80446
19.267,1.6438e-09,11.784
19.755,2.0482e-08,0.76544
20.243,-2.7207e-09,6.2803
