Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,2.583e-07,0.26005
0.5007699999999999,3.1194e-07,0.21612
0.5134449999999999,1.7163e-07,0.37065
0.52644,2.0759e-07,0.31787
0.5397700000000001,1.6955e-07,0.35727
0.553435,2.6667e-07,0.22462
0.567445,2.2122e-07,0.27028
0.58181,2.085e-07,0.28366
0.596535,3.2398e-07,0.16353
0.61164,3.1635e-07,0.17127
0.6271249999999999,2.6364e-07,0.2083
0.643,3.0802e-07,0.17568
0.65928,2.4323e-07,0.20696
0.67597,3.4311e-07,0.157
0.69308,4.3842e-07,0.11307
0.7106250000000001,4.0614e-07,0.12039
0.728615,3.0844e-07,0.15482
0.7470600000000001,3.1763e-07,0.15013
0.76597,4.2034e-07,0.11082
0.7853600000000001,3.5249e-07,0.12898
0.805245,3.4721e-07,0.13308
0.82563,3.6793e-07,0.12161
0.84653,3.9329e-07,0.11075
0.8679600000000001,3.7021e-07,0.12115
0.88993,4.7825e-07,0.098154
0.912455,4.57e-07,0.095391
0.935555,4.3739e-07,0.10744
0.9592400000000001,4.6237e-07,0.10284
0.983525,4.9351e-07,0.097079
1.00841,4.9611e-07,0.099273
1.03395,4.5847e-07,0.10945
1.06015,5.0298e-07,0.098173
1.087,5.6203e-07,0.085248
1.1145,6.4247e-07,0.073075
1.1427,5.7558e-07,0.083243
1.17165,5.8702e-07,0.081974
1.2012999999999998,5.3724e-07,0.086352
1.2317,5.6567e-07,0.079982
1.2629000000000001,5.2177e-07,0.092546
1.2948499999999998,5.8786e-07,0.080677
1.3276,5.931e-07,0.079202
1.3612000000000002,5.634e-07,0.087002
1.39565,6.4944e-07,0.077801
1.431,6.0544e-07,0.081305
1.46725,6.5716e-07,0.074098
1.5044,5.8179e-07,0.084323
1.5425,5.1071e-07,0.092776
1.58155,6.5217e-07,0.075886
1.62155,6.0254e-07,0.083006
1.6625999999999999,7.3689e-07,0.068224
1.7046999999999999,8.2544e-07,0.061633
1.7478500000000001,7.7601e-07,0.066321
1.7921,6.9593e-07,0.074488
1.83745,7.6091e-07,0.067876
1.88395,6.9058e-07,0.07392
1.9316499999999999,7.2667e-07,0.067764
1.98055,6.8984e-07,0.074183
2.0307,7.4688e-07,0.069158
2.0820999999999996,7.3736e-07,0.068436
2.1348000000000003,7.5331e-07,0.069633
2.1888500000000004,7.1515e-07,0.070298
2.24425,6.6452e-07,0.075695
2.3011,6.5478e-07,0.079409
2.35935,5.6578e-07,0.086655
2.41905,5.7747e-07,0.084454
2.4802999999999997,5.2792e-07,0.086963
2.5431,4.4303e-07,0.098172
2.6075,4.1379e-07,0.1045
2.6734999999999998,5.7478e-07,0.07951
2.74115,1.112e-06,0.051408
2.81055,7.2572e-07,0.072619
2.8817,5.5828e-07,0.09176
2.95465,3.6982e-07,0.13259
3.0294499999999998,3.2252e-07,0.14199
3.10615,2.925e-07,0.15158
3.1848,3.1045e-07,0.14253
3.2654,2.3583e-07,0.19029
3.3480499999999997,2.7733e-07,0.15951
3.43285,4.0548e-07,0.11295
3.51975,4.2255e-07,0.11291
3.60885,4.2254e-07,0.1202
3.70025,5.6594e-07,0.091154
3.7939,5.7617e-07,0.092197
3.8899,5.295e-07,0.10049
3.9883499999999996,7.2638e-07,0.073037
4.08935,7.2048e-07,0.077152
4.1929,9.0558e-07,0.064559
4.29905,1.0552e-06,0.057216
4.4079,1.1543e-06,0.057797
4.51945,1.5429e-06,0.044821
