Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,3.0488e-07,0.21069
0.5007699999999999,2.2249e-07,0.28551
0.5134449999999999,2.7022e-07,0.22336
0.52644,2.4227e-07,0.24355
0.5397700000000001,2.4211e-07,0.22395
0.553435,3.2066e-07,0.16534
0.567445,3.0132e-07,0.16723
0.58181,2.511e-07,0.20004
0.596535,3.0005e-07,0.16354
0.61164,3.7857e-07,0.12299
0.6271249999999999,3.0627e-07,0.14936
0.643,3.0561e-07,0.14631
0.65928,2.9656e-07,0.14785
0.67597,2.9919e-07,0.14476
0.69308,3.4535e-07,0.12348
0.7106250000000001,3.9472e-07,0.10529
0.728615,4.0171e-07,0.10352
0.7470600000000001,3.9811e-07,0.099396
0.76597,2.7518e-07,0.1396
0.7853600000000001,3.4761e-07,0.1084
0.805245,3.508e-07,0.10473
0.82563,3.5902e-07,0.10226
0.84653,3.9178e-07,0.099123
0.8679600000000001,3.1735e-07,0.11133
0.88993,3.158e-07,0.11732
0.912455,3.6676e-07,0.10177
0.935555,3.3556e-07,0.11157
0.9592400000000001,4.1894e-07,0.089011
0.983525,3.9849e-07,0.097387
1.00841,3.9516e-07,0.098681
1.03395,4.4813e-07,0.088536
1.06015,3.6369e-07,0.10635
1.087,4.3181e-07,0.090317
1.1145,3.9657e-07,0.098565
1.1427,4.294e-07,0.092161
1.17165,4.0725e-07,0.094911
1.2012999999999998,4.6518e-07,0.085288
1.2317,4.3493e-07,0.087458
1.2629000000000001,3.5017e-07,0.11264
1.2948499999999998,4.565e-07,0.086699
1.3276,4.21e-07,0.0956
1.3612000000000002,4.8071e-07,0.087541
1.39565,4.447e-07,0.092132
1.431,4.5047e-07,0.093563
1.46725,4.1014e-07,0.098334
1.5044,5.2507e-07,0.079779
1.5425,5.2129e-07,0.082453
1.58155,4.6926e-07,0.092437
1.62155,4.5185e-07,0.093862
1.6625999999999999,4.7869e-07,0.093027
1.7046999999999999,5.7981e-07,0.075664
1.7478500000000001,4.7146e-07,0.094978
1.7921,4.2855e-07,0.10809
1.83745,4.9782e-07,0.090115
1.88395,4.4373e-07,0.10339
1.9316499999999999,4.5906e-07,0.10269
1.98055,4.3103e-07,0.10508
2.0307,5.4819e-07,0.083189
2.0820999999999996,4.2689e-07,0.10749
2.1348000000000003,3.8858e-07,0.11812
2.1888500000000004,3.7831e-07,0.11831
2.24425,4.0992e-07,0.1116
2.3011,4.3474e-07,0.10302
2.35935,3.5723e-07,0.12226
2.41905,3.5436e-07,0.11753
2.4802999999999997,3.9154e-07,0.10897
2.5431,3.4721e-07,0.11677
2.6075,2.5556e-07,0.15648
2.6734999999999998,2.668e-07,0.13914
2.74115,2.9144e-07,0.12728
2.81055,2.8008e-07,0.13028
2.8817,2.5501e-07,0.14184
2.95465,2.9509e-07,0.11642
3.0294499999999998,3.1803e-07,0.11012
3.10615,1.9614e-07,0.17005
3.1848,1.8062e-07,0.18493
3.2654,2.8444e-07,0.11301
3.3480499999999997,2.1999e-07,0.14447
3.43285,2.7364e-07,0.1173
3.51975,3.5385e-07,0.098097
3.60885,3.7169e-07,0.098679
3.70025,4.2185e-07,0.09419
3.7939,3.0923e-07,0.1249
3.8899,4.429e-07,0.091572
3.9883499999999996,4.6603e-07,0.087654
4.08935,3.5911e-07,0.11509
4.1929,4.43e-07,0.096614
4.29905,5.287e-07,0.084892
4.4079,5.0319e-07,0.089438
4.51945,5.5296e-07,0.08249
4.63385,5.1807e-07,0.094434
4.75115,4.7042e-07,0.09824
4.8713999999999995,5.2621e-07,0.089738
4.99475,4.9973e-07,0.096082
5.1212,3.8574e-07,0.12582
5.25085,3.783e-07,0.10695
5.3838,3.4761e-07,0.11563
5.5201,3.0285e-07,0.13748
5.659800000000001,2.6415e-07,0.15217
5.803050000000001,2.5847e-07,0.14837
5.95,2.9707e-07,0.13168
6.10065,2.746e-07,0.14939
6.25505,4.2593e-07,0.10318
6.413399999999999,3.8878e-07,0.11882
6.575749999999999,5.1097e-07,0.095597
6.7422,4.2388e-07,0.10703
6.9129000000000005,3.0807e-07,0.14092
7.087899999999999,2.2984e-07,0.18728
7.26735,2.0931e-07,0.19963
7.4513,2.6781e-07,0.163
7.639900000000001,2.4212e-07,0.1853
7.8332999999999995,4.3964e-07,0.11041
8.0316,4.8722e-07,0.10271
8.23495,5.7528e-07,0.09278
8.443449999999999,6.3042e-07,0.094074
8.6572,8.1103e-07,0.075358
8.876349999999999,7.6174e-07,0.077671
9.10105,7.1999e-07,0.085434
9.33145,1.0037e-06,0.068595
9.56765,9.0245e-07,0.074429
9.80985,6.904e-07,0.095215
10.05825,5.1149e-07,0.11241
10.312999999999999,2.8453e-07,0.19148
10.574,2.03e-07,0.25578
10.8415,1.9462e-07,0.26511
11.116,3.1087e-07,0.17072
11.3975,3.2518e-07,0.17865
11.686,5.1388e-07,0.11253
11.982,4.7368e-07,0.1262
12.285499999999999,6.1177e-07,0.10537
12.596499999999999,7.427e-07,0.091017
12.915,1.0387e-06,0.069095
13.2415,1.3466e-06,0.058983
13.577,1.7982e-06,0.049292
13.921,2.1741e-06,0.044195
14.2735,1.8518e-06,0.048124
14.635,1.0614e-06,0.066116
15.0055,3.767e-07,0.11498
15.385,9.0727e-08,0.32974
15.7745,1.8084e-09,13.35
16.174,-2.4879e-08,0.8034
16.583,3.1213e-10,59.964
