Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,6.299,0.18600000000000003
7.0,7.374,0.098
8.0,6.629,0.01
9.0,5.974,0.026000000000000002
10.0,5.652,0.037000000000000005
11.0,5.405,0.057
12.0,5.222,0.069
13.0,5.223,0.044000000000000004
14.0,5.494,0.019
15.0,5.828,0.053
16.0,5.895,0.027000000000000003
17.0,5.712,0.063
18.0,5.625,0.11599999999999999
19.0,5.867,0.10099999999999999
20.0,6.346,0.047
21.0,6.854,0.018000000000000002
22.0,7.285,0.055
23.0,7.63,0.092
24.0,7.862,0.122
25.0,7.899,0.131
26.0,7.686,0.111
27.0,7.304,0.07
28.0,6.952,0.037000000000000005
29.0,6.77,0.034
30.0,6.706,0.057
31.0,6.583,0.086
32.0,6.258,0.105
33.0,5.704,0.124
34.0,5.002,0.162
35.0,4.456,0.16899999999999998
36.0,4.999,0.131
37.0,7.727,0.322
38.0,11.72,0.23399999999999999
39.0,15.15,0.115
40.0,18.09,0.084
41.0,18.56,0.10300000000000001
42.0,13.73,0.092
43.0,6.868,0.12
44.0,2.635,0.22899999999999998
