Energy [MeV],Yield per lethargy [1/u],Relative error [-]
4.0,0.0,0.0
5.0,1.57,0.272
6.0,1.655,0.157
7.0,1.522,0.223
8.0,1.441,0.105
9.0,1.378,0.07
10.0,1.314,0.156
11.0,1.297,0.19899999999999998
12.0,1.333,0.19699999999999998
13.0,1.394,0.126
14.0,1.463,0.027000000000000003
15.0,1.545,0.057
16.0,1.645,0.036000000000000004
17.0,1.751,0.11800000000000001
18.0,1.847,0.207
19.0,1.931,0.209
20.0,2.025,0.121
21.0,2.166,0.037000000000000005
22.0,2.381,0.14
23.0,2.676,0.215
24.0,3.033,0.244
25.0,3.404,0.233
26.0,3.746,0.19399999999999998
27.0,4.037,0.14400000000000002
28.0,4.291,0.10099999999999999
29.0,4.537,0.075
30.0,4.796,0.065
31.0,5.061,0.064
32.0,5.311,0.062
33.0,5.528,0.062
34.0,5.779,0.067
35.0,6.416,0.06
36.0,8.372,0.024
37.0,13.1,0.038
38.0,21.33,0.05
39.0,31.04,0.04
40.0,37.3,0.022000000000000002
41.0,35.9,0.01
42.0,27.41,0.019
43.0,16.58,0.037000000000000005
44.0,7.982,0.063
