Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,0.0,1.0
0.0324205,0.0,1.0
0.034083,-3.8901e-07,0.0
0.0358305,-6.3651e-07,0.006749
0.0376675,-2.7278e-07,0.54405
0.039598999999999995,-8.2622e-08,1.7593
0.0416295,1.106e-07,1.1618
0.0437635,-1.6324e-07,0.72608
0.046007,-7.8767e-08,1.4508
0.048366,1.6232e-07,0.63859
0.050846,-4.3306e-08,2.2273
0.053453,1.9538e-07,0.43099
0.0561935,2.2961e-07,0.31629
0.0590745,2.4646e-07,0.27271
0.062103500000000006,4.0707e-07,0.15023
0.0652875,4.415e-07,0.12165
0.0686345,5.689e-07,0.090529
0.0721535,5.7565e-07,0.082269
0.075853,6.2196e-07,0.072662
0.07974200000000001,6.1569e-07,0.069247
0.0838305,6.1487e-07,0.064132
0.088129,4.0522e-07,0.089114
0.0926475,3.6194e-07,0.092196
0.0973975,4.2351e-07,0.0757
0.10239100000000001,5.0221e-07,0.062208
0.10764,7.2521e-07,0.045514
0.11316,9.6051e-07,0.036023
0.11896,1.1133e-06,0.032004
0.12506,1.1901e-06,0.029924
0.131475,1.3369e-06,0.027075
0.13821499999999998,1.442e-06,0.025157
0.14529999999999998,1.2795e-06,0.026745
0.15275,1.0372e-06,0.030363
0.16058,1.0625e-06,0.028223
0.16881,1.1466e-06,0.026185
0.17747,1.1948e-06,0.02542
0.18657,1.0573e-06,0.026972
0.196135,9.6156e-07,0.027748
0.20618999999999998,9.4096e-07,0.028122
0.21676,1.0104e-06,0.026802
0.227875,1.1723e-06,0.024266
0.23956,1.2871e-06,0.022899
0.251845,1.5564e-06,0.020079
0.26475499999999996,1.88e-06,0.017805
0.278325,2.1548e-06,0.01659
0.292595,2.2804e-06,0.016065
0.3076,2.3893e-06,0.015721
0.32337000000000005,2.2924e-06,0.016048
0.33995,1.9131e-06,0.017992
0.35738000000000003,1.8564e-06,0.018074
0.37570000000000003,1.4318e-06,0.021509
0.394965,1.0186e-06,0.026988
0.415215,9.4245e-07,0.027723
0.43650500000000003,1.0366e-06,0.02629
0.458885,1.1321e-06,0.02524
0.48241,1.2163e-06,0.023908
0.507145,1.2056e-06,0.023448
0.533145,1.4124e-06,0.020711
0.56048,1.6902e-06,0.018754
0.58922,2.1324e-06,0.016278
0.6194299999999999,2.3939e-06,0.015409
0.6511899999999999,2.0346e-06,0.017226
0.68458,1.3164e-06,0.022842
0.7196750000000001,9.2773e-07,0.028807
0.75657,6.1284e-07,0.037519
0.79536,5.3862e-07,0.040718
0.83614,5.7551e-07,0.039728
0.8790100000000001,7.3544e-07,0.033244
0.92408,7.5213e-07,0.032922
0.97146,6.8423e-07,0.036195
1.02127,5.1383e-07,0.045863
1.07365,4.4803e-07,0.051776
1.1287,5.0434e-07,0.047457
1.18655,4.5287e-07,0.053311
1.2473999999999998,3.8715e-07,0.059682
1.31135,2.5161e-07,0.088818
1.3785500000000002,2.1394e-07,0.10281
1.4492500000000001,1.97e-07,0.11156
1.5235500000000002,1.9421e-07,0.11557
1.60165,1.7918e-07,0.1259
1.6838,1.9731e-07,0.11339
1.7701500000000001,1.6581e-07,0.1525
1.8609,1.2759e-07,0.18912
1.9563,1.2798e-07,0.16895
2.0566,5.4732e-08,0.38792
2.16205,9.0319e-08,0.23329
2.2729,1.1809e-07,0.16763
2.3894,5.7048e-08,0.34433
2.5119,6.9795e-08,0.27724
2.6407,9.1375e-08,0.21858
2.7761,4.4648e-08,0.40857
2.91845,2.9971e-08,0.53844
3.06805,7.3662e-08,0.21047
3.2253499999999997,3.0292e-08,0.45487
3.3907499999999997,4.0264e-08,0.34721
3.5646,3.8067e-08,0.35075
3.74735,9.2721e-09,1.4452
3.93945,2.8107e-08,0.45809
4.14145,1.1678e-08,1.1448
4.3538,2.9863e-08,0.42592
4.577,3.9881e-08,0.34595
4.81165,2.1547e-08,0.61012
5.05835,4.5879e-08,0.31405
5.3177,2.0943e-08,0.61986
5.59035,1.9855e-08,0.68369
5.877000000000001,3.2568e-08,0.46902
6.1783,1.7047e-09,8.5034
6.49505,2.0952e-08,0.70476
6.8281,4.2848e-08,0.37652
7.1782,2.3964e-08,0.65377
7.5462,1.7235e-08,1.0299
7.9331,2.7466e-08,0.53635
8.339849999999998,2.8898e-08,0.5343
8.76745,3.6766e-08,0.45109
9.21695,1.8363e-08,0.87072
9.689499999999999,1.3879e-08,1.2189
10.186350000000001,9.626e-09,1.5678
10.7085,7.6812e-10,20.321
11.2575,3.5988e-08,0.46982
11.835,4.6681e-10,35.277
12.442,2.5817e-09,6.0042
13.0795,4.7267e-08,0.34185
13.75,8.5097e-08,0.20084
14.455,9.0701e-08,0.20049
15.196000000000002,1.4384e-07,0.12609
15.9755,1.137e-08,0.85585
16.7945,-7.1204e-09,0.98635
17.6555,2.2511e-09,2.7815
18.561,1.9071e-08,0.38758
19.5125,-2.7879e-10,18.746
20.464,1.3243e-09,4.4015
