Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,0.0,1.0
0.0324205,-8.6949e-08,0.0
0.034083,-4.7837e-07,0.0
0.0358305,-3.9204e-07,0.49979
0.0376675,-2.8089e-07,0.87737
0.039598999999999995,-2.5565e-07,0.85058
0.0416295,4.825e-08,4.1306
0.0437635,-8.0453e-08,2.2479
0.046007,6.0785e-08,2.7205
0.048366,1.9636e-07,0.75373
0.050846,-1.5007e-07,0.93684
0.053453,-2.8577e-08,4.2534
0.0561935,1.1231e-07,1.0084
0.0590745,4.1707e-07,0.23894
0.062103500000000006,4.1322e-07,0.20876
0.0652875,3.4833e-07,0.2336
0.0686345,6.0766e-07,0.12278
0.0721535,6.5402e-07,0.10635
0.075853,6.2554e-07,0.10121
0.07974200000000001,5.6186e-07,0.11035
0.0838305,6.7552e-07,0.082196
0.088129,5.4307e-07,0.097715
0.0926475,4.102e-07,0.11983
0.0973975,4.3993e-07,0.10737
0.10239100000000001,5.0894e-07,0.08823
0.10764,7.3945e-07,0.060617
0.11316,9.2465e-07,0.05253
0.11896,1.0378e-06,0.046554
0.12506,1.2376e-06,0.040712
0.131475,1.3891e-06,0.037429
0.13821499999999998,1.5416e-06,0.034065
0.14529999999999998,1.4965e-06,0.03369
0.15275,1.286e-06,0.036952
0.16058,1.0824e-06,0.038663
0.16881,1.2755e-06,0.033423
0.17747,1.3165e-06,0.032722
0.18657,1.1518e-06,0.035351
0.196135,1.1363e-06,0.033871
0.20618999999999998,1.028e-06,0.035898
0.21676,1.0011e-06,0.037506
0.227875,1.2432e-06,0.031702
0.23956,1.5132e-06,0.027838
0.251845,1.6831e-06,0.025732
0.26475499999999996,1.9386e-06,0.023725
0.278325,2.3818e-06,0.021158
0.292595,2.6651e-06,0.019849
0.3076,2.7006e-06,0.019884
0.32337000000000005,2.8073e-06,0.019737
0.33995,2.3918e-06,0.021213
0.35738000000000003,2.2473e-06,0.022162
0.37570000000000003,2.1345e-06,0.022746
0.394965,1.4993e-06,0.027806
0.415215,1.0899e-06,0.034074
0.43650500000000003,1.042e-06,0.036371
0.458885,1.3927e-06,0.029297
0.48241,1.5822e-06,0.026672
0.507145,1.5198e-06,0.027325
0.533145,1.6497e-06,0.025133
0.56048,1.9684e-06,0.023105
0.58922,2.4427e-06,0.02048
0.6194299999999999,3.0106e-06,0.018129
0.6511899999999999,2.9896e-06,0.018266
0.68458,2.219e-06,0.02177
0.7196750000000001,1.5749e-06,0.026949
0.75657,9.3914e-07,0.037592
0.79536,6.464e-07,0.050061
0.83614,8.0304e-07,0.042354
0.8790100000000001,9.9844e-07,0.036671
0.92408,1.0967e-06,0.034367
0.97146,1.2941e-06,0.031029
1.02127,9.021e-07,0.040543
1.07365,7.964e-07,0.043843
1.1287,8.5027e-07,0.043728
1.18655,8.3848e-07,0.04357
1.2473999999999998,7.035e-07,0.051035
1.31135,4.8386e-07,0.064585
1.3785500000000002,3.5221e-07,0.089962
1.4492500000000001,3.1207e-07,0.098967
1.5235500000000002,3.1793e-07,0.094261
1.60165,2.8881e-07,0.10661
1.6838,2.3339e-07,0.13283
1.7701500000000001,1.8015e-07,0.20856
1.8609,2.059e-07,0.16108
1.9563,1.2589e-07,0.24858
2.0566,1.4214e-07,0.19655
2.16205,1.1231e-07,0.2358
2.2729,1.2685e-07,0.21574
2.3894,1.1449e-07,0.20588
2.5119,1.044e-07,0.21793
2.6407,8.7718e-08,0.23802
2.7761,8.3072e-08,0.25843
2.91845,8.3564e-08,0.22778
3.06805,2.4256e-08,0.74903
3.2253499999999997,3.7576e-08,0.45369
3.3907499999999997,2.8691e-08,0.66843
3.5646,6.549e-08,0.28033
3.74735,3.6246e-08,0.52355
3.93945,4.0621e-08,0.40979
4.14145,5.1104e-08,0.31766
4.3538,5.0672e-08,0.33719
4.577,6.1895e-08,0.30928
4.81165,7.9823e-09,2.0667
5.05835,3.6692e-08,0.44309
5.3177,1.2709e-08,1.3739
5.59035,3.9486e-08,0.43296
5.877000000000001,4.9828e-09,3.9813
6.1783,3.3274e-08,0.58406
6.49505,1.0617e-08,1.5871
6.8281,2.0351e-08,0.87009
7.1782,1.9228e-08,0.82869
7.5462,4.4008e-08,0.4571
7.9331,1.4442e-08,1.5163
8.339849999999998,3.5081e-09,6.1074
8.76745,2.0919e-08,1.1177
9.21695,3.8528e-08,0.60709
9.689499999999999,3.2329e-08,0.62723
10.186350000000001,1.189e-08,1.9441
10.7085,5.3003e-08,0.43957
11.2575,7.2998e-08,0.34095
11.835,2.6426e-08,0.80497
12.442,1.2121e-08,2.1468
13.0795,4.8643e-08,0.44177
13.75,1.3265e-07,0.21104
14.455,5.6606e-07,0.079151
15.196000000000002,2.4708e-06,0.03459
15.9755,8.661e-07,0.060841
16.7945,9.7725e-10,11.416
17.6555,-1.5249e-08,0.81689
18.561,-3.4816e-09,2.6384
19.5125,-9.0764e-10,12.102
20.464,-4.7465e-10,20.056
