Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,0.0,0.0
7.0,9.77,0.15
8.0,11.09,0.06
9.0,11.3,0.006
10.0,11.14,0.034
11.0,11.02,0.044000000000000004
12.0,11.0,0.043
13.0,11.03,0.033
14.0,11.12,0.018000000000000002
15.0,11.32,0.011000000000000001
16.0,11.66,0.013999999999999999
17.0,12.1,0.027000000000000003
18.0,12.53,0.04
19.0,12.86,0.040999999999999995
20.0,13.04,0.026000000000000002
21.0,13.09,0.013000000000000001
22.0,13.06,0.044000000000000004
23.0,13.01,0.077
24.0,12.99,0.099
25.0,13.02,0.109
26.0,13.1,0.107
27.0,13.24,0.095
28.0,13.42,0.079
29.0,13.65,0.064
30.0,13.91,0.052000000000000005
31.0,14.16,0.046
32.0,14.38,0.043
33.0,14.52,0.046
34.0,14.54,0.053
35.0,14.63,0.055
36.0,15.51,0.040999999999999995
37.0,18.33,0.096
38.0,23.22,0.171
39.0,28.52,0.171
40.0,32.63,0.083
41.0,34.61,0.068
42.0,31.97,0.168
43.0,23.32,0.215
44.0,12.4,0.2
