Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,634.4,0.429
6.0,693.8,0.054000000000000006
7.0,675.6,0.223
8.0,755.5,0.099
9.0,846.1,0.057
10.0,911.0,0.111
11.0,985.0,0.13
12.0,1054.0,0.124
13.0,1089.0,0.081
14.0,1108.0,0.017
15.0,1157.0,0.035
16.0,1267.0,0.021
17.0,1417.0,0.075
18.0,1551.0,0.127
19.0,1630.0,0.126
20.0,1649.0,0.076
21.0,1642.0,0.022000000000000002
22.0,1640.0,0.10300000000000001
23.0,1665.0,0.174
24.0,1725.0,0.217
25.0,1818.0,0.21899999999999997
26.0,1930.0,0.19
27.0,2043.0,0.14400000000000002
28.0,2130.0,0.10300000000000001
29.0,2168.0,0.08
30.0,2147.0,0.076
31.0,2054.0,0.084
32.0,1878.0,0.094
33.0,1611.0,0.105
34.0,1274.0,0.131
35.0,1019.0,0.17300000000000001
36.0,1325.0,0.121
37.0,3133.0,0.038
38.0,7428.0,0.040999999999999995
39.0,13960.0,0.040999999999999995
40.0,20230.0,0.031
41.0,22650.0,0.018000000000000002
42.0,19650.0,0.015
43.0,13170.0,0.045
44.0,6744.0,0.09300000000000001
