Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,1.755,0.652
7.0,2.96,0.23600000000000002
8.0,3.451,0.018000000000000002
9.0,3.378,0.044000000000000004
10.0,3.324,0.059000000000000004
11.0,3.423,0.086
12.0,3.495,0.1
13.0,3.406,0.065
14.0,3.235,0.033
15.0,3.222,0.092
16.0,3.507,0.042
17.0,3.941,0.096
18.0,4.231,0.157
19.0,4.264,0.139
20.0,4.17,0.07
21.0,4.106,0.031
22.0,4.103,0.098
23.0,4.093,0.16899999999999998
24.0,4.034,0.23199999999999998
25.0,3.974,0.256
26.0,4.001,0.213
27.0,4.122,0.128
28.0,4.236,0.066
29.0,4.246,0.055
30.0,4.173,0.08800000000000001
31.0,4.116,0.134
32.0,4.135,0.16
33.0,4.195,0.182
34.0,4.204,0.22
35.0,4.108,0.20600000000000002
36.0,4.161,0.19699999999999998
37.0,5.399,0.583
38.0,8.946,0.32299999999999995
39.0,13.66,0.203
40.0,16.89,0.135
41.0,16.5,0.159
42.0,11.7,0.29100000000000004
43.0,5.772,0.252
44.0,2.366,0.239
