Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,69.86,0.040999999999999995
9.0,65.19,0.06
10.0,59.88,0.09300000000000001
11.0,56.43,0.13
12.0,54.43,0.159
13.0,53.55,0.134
14.0,53.64,0.083
15.0,54.9,0.171
16.0,56.36,0.16399999999999998
17.0,57.11,0.256
18.0,61.01,0.322
19.0,72.98,0.247
20.0,89.95,0.129
21.0,103.0,0.066
22.0,108.1,0.115
23.0,110.8,0.16699999999999998
24.0,119.2,0.2
25.0,134.8,0.18899999999999997
26.0,151.8,0.146
27.0,162.8,0.10400000000000001
28.0,165.1,0.08199999999999999
29.0,162.1,0.086
30.0,160.7,0.113
31.0,166.3,0.126
32.0,179.2,0.111
33.0,194.7,0.091
34.0,206.3,0.084
35.0,210.3,0.09
36.0,207.8,0.106
37.0,204.2,0.122
38.0,204.7,0.129
39.0,211.1,0.12300000000000001
40.0,221.3,0.109
41.0,232.3,0.095
42.0,242.9,0.086
43.0,254.7,0.084
44.0,269.6,0.08
46.0,295.9,0.07400000000000001
48.0,321.9,0.07
50.0,323.0,0.06
52.0,306.7,0.055999999999999994
54.0,277.9,0.076
56.0,223.4,0.16399999999999998
58.0,153.3,0.293
60.0,262.4,0.301
62.0,1069.0,0.15
64.0,2691.0,0.067
66.0,3213.0,0.049
68.0,1317.0,0.086
70.0,0.0,0.0
