Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.006255,0.11199999999999999
9.0,0.00562,0.075
10.0,0.004933,0.076
11.0,0.004481,0.129
12.0,0.00414,0.152
13.0,0.003829,0.18
14.0,0.003901,0.19399999999999998
15.0,0.004395,0.14400000000000002
16.0,0.004952,0.19899999999999998
17.0,0.005218,0.281
18.0,0.004901,0.386
19.0,0.00423,0.489
20.0,0.003917,0.484
21.0,0.004193,0.331
22.0,0.004568,0.214
23.0,0.004656,0.252
24.0,0.004689,0.32299999999999995
25.0,0.005098,0.379
26.0,0.00589,0.36200000000000004
27.0,0.006642,0.304
28.0,0.007075,0.27399999999999997
29.0,0.007378,0.261
30.0,0.007876,0.263
31.0,0.008525,0.297
32.0,0.008974,0.308
33.0,0.009078,0.28600000000000003
34.0,0.009112,0.272
35.0,0.009407,0.29
36.0,0.00992,0.331
37.0,0.01033,0.38299999999999995
38.0,0.01051,0.429
39.0,0.01076,0.439
40.0,0.0115,0.4
41.0,0.01289,0.33
42.0,0.01465,0.266
43.0,0.01626,0.225
44.0,0.01728,0.209
46.0,0.01745,0.20800000000000002
48.0,0.01623,0.228
50.0,0.01377,0.275
52.0,0.01232,0.263
54.0,0.0116,0.24600000000000002
56.0,0.01033,0.35100000000000003
58.0,0.00744,0.88
60.0,0.005186,1.55
62.0,0.02871,0.485
64.0,0.06278,0.449
66.0,0.07148,0.419
68.0,0.1167,0.196
70.0,0.05212,0.33399999999999996
