Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,-5.2544e-08,0.0
0.0324205,-2.851e-08,3.088
0.034083,3.4728e-08,11.36
0.0358305,2.3686e-07,1.4523
0.0376675,3.2373e-07,0.91184
0.039598999999999995,4.5561e-07,0.59231
0.0416295,2.856e-08,8.9246
0.0437635,-2.3435e-07,1.0398
0.046007,2.9394e-07,0.73552
0.048366,3.8514e-07,0.51407
0.050846,4.3373e-07,0.38769
0.053453,1.8081e-07,0.86348
0.0561935,1.8713e-07,0.7159
0.0590745,1.3814e-08,8.7802
0.062103500000000006,1.0201e-07,1.0636
0.0652875,4.0425e-08,2.4163
0.0686345,2.3647e-07,0.36032
0.0721535,8.0109e-08,1.0005
0.075853,1.8066e-07,0.40495
0.07974200000000001,6.7624e-08,1.0057
0.0838305,1.7418e-07,0.35273
0.088129,1.5577e-07,0.3847
0.0926475,1.8769e-07,0.28491
0.0973975,9.2923e-08,0.57281
0.10239100000000001,1.5284e-07,0.33809
0.10764,1.0274e-07,0.46471
0.11316,1.4032e-07,0.32966
0.11896,2.0803e-07,0.21283
0.12506,2.0567e-07,0.20979
0.131475,1.5108e-07,0.27867
0.13821499999999998,2.2613e-07,0.18195
0.14529999999999998,1.2694e-07,0.31227
0.15275,2.9219e-07,0.12737
0.16058,2.1712e-07,0.16859
0.16881,2.5183e-07,0.14481
0.17747,2.9219e-07,0.1254
0.18657,2.3829e-07,0.15171
0.196135,1.6362e-07,0.21934
0.20618999999999998,2.5071e-07,0.14007
0.21676,3.51e-07,0.10135
0.227875,2.7131e-07,0.13033
0.23956,2.7454e-07,0.1263
0.251845,3.4754e-07,0.10018
0.26475499999999996,3.9414e-07,0.089091
0.278325,3.8736e-07,0.090827
0.292595,4.2022e-07,0.087063
0.3076,4.1829e-07,0.088116
0.32337000000000005,4.2859e-07,0.088546
0.33995,4.4276e-07,0.082658
0.35738000000000003,4.7593e-07,0.080192
0.37570000000000003,3.891e-07,0.10239
0.394965,4.4494e-07,0.086958
0.415215,3.6658e-07,0.10607
0.43650500000000003,4.9722e-07,0.081382
0.458885,5.6155e-07,0.073493
0.48241,6.7611e-07,0.064138
0.507145,5.9597e-07,0.071538
0.533145,6.6149e-07,0.063725
0.56048,8.3331e-07,0.054541
0.58922,8.4368e-07,0.052625
0.6194299999999999,9.2276e-07,0.049825
0.6511899999999999,8.7325e-07,0.053731
0.68458,7.5968e-07,0.061774
0.7196750000000001,8.8775e-07,0.055071
0.75657,9.1705e-07,0.053439
0.79536,9.8668e-07,0.052048
0.83614,1.1385e-06,0.04519
0.8790100000000001,1.1351e-06,0.048749
0.92408,1.3022e-06,0.044601
0.97146,1.397e-06,0.043112
1.02127,1.1761e-06,0.050684
1.07365,1.2526e-06,0.046822
1.1287,1.1651e-06,0.05243
1.18655,1.1925e-06,0.051393
1.2473999999999998,1.4271e-06,0.04624
1.31135,1.5437e-06,0.044131
1.3785500000000002,1.3138e-06,0.048944
1.4492500000000001,1.1919e-06,0.055756
1.5235500000000002,1.2396e-06,0.055809
1.60165,1.2701e-06,0.057024
1.6838,1.2735e-06,0.054698
1.7701500000000001,1.3129e-06,0.063498
1.8609,1.3208e-06,0.062013
1.9563,1.5455e-06,0.053235
2.0566,1.6106e-06,0.051408
2.16205,1.4029e-06,0.055801
2.2729,1.2575e-06,0.061022
2.3894,1.4746e-06,0.052462
2.5119,1.5271e-06,0.049659
2.6407,1.398e-06,0.053801
2.7761,1.5886e-06,0.048927
2.91845,1.6592e-06,0.046499
3.06805,1.674e-06,0.045822
3.2253499999999997,1.6476e-06,0.047467
3.3907499999999997,1.4348e-06,0.052413
3.5646,1.2789e-06,0.057934
3.74735,1.1387e-06,0.065238
3.93945,1.1531e-06,0.063834
4.14145,1.0689e-06,0.069149
4.3538,9.4794e-07,0.07451
4.577,1.1241e-06,0.067145
4.81165,1.0404e-06,0.071607
5.05835,1.2655e-06,0.060551
5.3177,1.3008e-06,0.060643
5.59035,1.4555e-06,0.056964
5.877000000000001,1.303e-06,0.060149
6.1783,1.1746e-06,0.069483
6.49505,9.4008e-07,0.086006
6.8281,1.0511e-06,0.076835
7.1782,1.0569e-06,0.08048
7.5462,1.358e-06,0.072201
7.9331,1.55e-06,0.066734
8.339849999999998,1.5369e-06,0.070363
8.76745,1.9946e-06,0.059294
9.21695,2.4138e-06,0.053325
9.689499999999999,2.2017e-06,0.059489
10.186350000000001,1.4596e-06,0.089065
10.7085,1.6042e-06,0.08223
11.2575,1.757e-06,0.074398
11.835,1.5486e-06,0.081745
12.442,2.2142e-06,0.061431
13.0795,3.3558e-06,0.045827
13.75,7.8394e-06,0.026053
14.455,4.2554e-05,0.010552
15.196000000000002,9.1057e-05,0.0071177
15.9755,1.5819e-05,0.016842
16.7945,4.4889e-07,0.1096
17.6555,3.0653e-08,0.70396
18.561,-3.9373e-10,40.814
19.5125,3.6767e-09,4.1315
20.464,8.208e-09,1.8558
