Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,1.0758e-08,0.0
0.0308395,1.05e-07,0.0
0.0324205,3.9934e-07,0.63754
0.034083,-2.8822e-07,1.2377
0.0358305,4.8136e-09,63.364
0.0376675,2.2511e-07,1.2876
0.039598999999999995,1.612e-07,1.5773
0.0416295,-8.4049e-08,2.6306
0.0437635,3.9776e-07,0.543
0.046007,1.8913e-07,1.0336
0.048366,1.6973e-07,1.0728
0.050846,3.575e-07,0.45852
0.053453,4.4276e-07,0.32231
0.0561935,1.5466e-08,8.1774
0.0590745,6.6072e-08,1.7092
0.062103500000000006,1.0484e-07,0.96049
0.0652875,1.4763e-07,0.57795
0.0686345,1.9365e-07,0.42145
0.0721535,1.2716e-07,0.57327
0.075853,2.2368e-07,0.30943
0.07974200000000001,6.7149e-08,0.92093
0.0838305,5.2866e-08,1.1019
0.088129,1.392e-07,0.40249
0.0926475,1.4414e-07,0.36432
0.0973975,1.5961e-07,0.30186
0.10239100000000001,1.9248e-07,0.24253
0.10764,1.9823e-07,0.22289
0.11316,2.0802e-07,0.20779
0.11896,1.8258e-07,0.22074
0.12506,1.3189e-07,0.29913
0.131475,1.7776e-07,0.21351
0.13821499999999998,2.1293e-07,0.17555
0.14529999999999998,2.371e-07,0.14987
0.15275,2.2949e-07,0.15307
0.16058,2.5492e-07,0.13544
0.16881,1.8358e-07,0.18242
0.17747,2.1847e-07,0.15167
0.18657,1.889e-07,0.16986
0.196135,2.2394e-07,0.14364
0.20618999999999998,3.2106e-07,0.097989
0.21676,3.1657e-07,0.099647
0.227875,3.0177e-07,0.10832
0.23956,3.0849e-07,0.10352
0.251845,3.5397e-07,0.092075
0.26475499999999996,2.9805e-07,0.10973
0.278325,3.7363e-07,0.087032
0.292595,3.9393e-07,0.083077
0.3076,3.9337e-07,0.08363
0.32337000000000005,3.6471e-07,0.090454
0.33995,4.1236e-07,0.080675
0.35738000000000003,4.3109e-07,0.079943
0.37570000000000003,4.0107e-07,0.083251
0.394965,3.8789e-07,0.088433
0.415215,4.0608e-07,0.08588
0.43650500000000003,4.865e-07,0.075862
0.458885,5.3795e-07,0.070502
0.48241,5.8573e-07,0.064605
0.507145,6.167e-07,0.062619
0.533145,6.9692e-07,0.055575
0.56048,7.0221e-07,0.055444
0.58922,7.787e-07,0.052829
0.6194299999999999,8.2729e-07,0.049896
0.6511899999999999,6.6835e-07,0.060736
0.68458,7.2964e-07,0.056761
0.7196750000000001,8.2399e-07,0.051906
0.75657,8.419e-07,0.05191
0.79536,1.0298e-06,0.044246
0.83614,1.1462e-06,0.041826
0.8790100000000001,1.1529e-06,0.042378
0.92408,1.2431e-06,0.041368
0.97146,1.2635e-06,0.041765
1.02127,1.0059e-06,0.050646
1.07365,1.0978e-06,0.047353
1.1287,1.2185e-06,0.045067
1.18655,1.4343e-06,0.039826
1.2473999999999998,1.337e-06,0.043707
1.31135,1.2155e-06,0.04807
1.3785500000000002,1.062e-06,0.05476
1.4492500000000001,1.0362e-06,0.057374
1.5235500000000002,1.1489e-06,0.054723
1.60165,1.2005e-06,0.053455
1.6838,1.2406e-06,0.0519
1.7701500000000001,1.2531e-06,0.058569
1.8609,1.2693e-06,0.05705
1.9563,1.3505e-06,0.054641
2.0566,1.4599e-06,0.049748
2.16205,1.3669e-06,0.052356
2.2729,1.301e-06,0.05478
2.3894,1.3108e-06,0.05331
2.5119,1.3741e-06,0.051406
2.6407,1.4445e-06,0.050315
2.7761,1.5318e-06,0.046099
2.91845,1.3883e-06,0.049412
3.06805,1.3592e-06,0.049419
3.2253499999999997,1.1228e-06,0.056888
3.3907499999999997,1.139e-06,0.05515
3.5646,9.3221e-07,0.062371
3.74735,9.0809e-07,0.066057
3.93945,7.9865e-07,0.070603
4.14145,8.4932e-07,0.067037
4.3538,1.0292e-06,0.059891
4.577,9.1825e-07,0.065033
4.81165,1.0758e-06,0.059188
5.05835,1.2871e-06,0.052386
5.3177,1.1912e-06,0.05602
5.59035,1.0948e-06,0.060407
5.877000000000001,9.588e-07,0.069802
6.1783,1.0035e-06,0.067925
6.49505,9.1448e-07,0.075644
6.8281,9.1309e-07,0.079654
7.1782,9.3065e-07,0.081009
7.5462,1.0864e-06,0.074967
7.9331,1.2592e-06,0.068777
8.339849999999998,1.5619e-06,0.059585
8.76745,1.7471e-06,0.059165
9.21695,1.5618e-06,0.068242
9.689499999999999,1.4369e-06,0.074616
10.186350000000001,1.0891e-06,0.094519
10.7085,1.2721e-06,0.084945
11.2575,1.0022e-06,0.10898
11.835,1.4341e-06,0.080154
12.442,2.1273e-06,0.060001
13.0795,5.0166e-06,0.032003
13.75,9.4314e-06,0.021668
14.455,1.3024e-05,0.017538
15.196000000000002,1.8491e-05,0.014343
15.9755,7.3978e-06,0.022414
16.7945,1.3938e-06,0.052662
17.6555,4.3848e-07,0.10212
18.561,1.4579e-07,0.1906
19.5125,2.1779e-08,0.85538
20.464,3.1913e-08,0.49256
