Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,0.007569,0.107
7.0,0.006042,0.171
8.0,0.004975,0.107
9.0,0.004861,0.08800000000000001
10.0,0.005148,0.141
11.0,0.00541,0.162
12.0,0.005545,0.16
13.0,0.005578,0.126
14.0,0.005522,0.091
15.0,0.005409,0.133
16.0,0.005353,0.166
17.0,0.005432,0.23800000000000002
18.0,0.005617,0.3
19.0,0.005889,0.294
20.0,0.0063,0.218
21.0,0.00684,0.14400000000000002
22.0,0.007372,0.187
23.0,0.007767,0.257
24.0,0.008081,0.307
25.0,0.008538,0.312
26.0,0.009328,0.26899999999999996
27.0,0.01043,0.212
28.0,0.01161,0.17
29.0,0.01257,0.15
30.0,0.01311,0.149
31.0,0.01315,0.177
32.0,0.0127,0.249
33.0,0.01185,0.37200000000000005
34.0,0.01104,0.507
35.0,0.01158,0.479
36.0,0.01597,0.361
37.0,0.02672,0.551
38.0,0.04342,0.602
39.0,0.06116,0.461
40.0,0.07272,0.19699999999999998
41.0,0.07291,0.228
42.0,0.06126,0.581
43.0,0.04232,0.8540000000000001
44.0,0.0233,0.895
46.0,0.0,0.0
