Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,4.2113e-07,0.24987
0.0308395,-2.6459e-06,0.17542
0.0324205,-3.7408e-07,1.8692
0.034083,1.0419e-07,5.8957
0.0358305,-2.3258e-07,2.3007
0.0376675,9.6903e-07,0.50446
0.039598999999999995,3.4825e-07,1.2563
0.0416295,4.4236e-07,0.88957
0.0437635,1.1444e-06,0.33034
0.046007,2.5545e-07,1.371
0.048366,8.2397e-07,0.39071
0.050846,1.7377e-06,0.16685
0.053453,8.5606e-07,0.29572
0.0561935,9.8922e-07,0.23222
0.0590745,1.1273e-06,0.17828
0.062103500000000006,1.1502e-06,0.1551
0.0652875,9.9544e-07,0.166
0.0686345,1.1357e-06,0.12987
0.0721535,1.2994e-06,0.099118
0.075853,1.155e-06,0.10877
0.07974200000000001,1.2059e-06,0.097175
0.0838305,1.279e-06,0.086726
0.088129,1.0988e-06,0.093534
0.0926475,1.2828e-06,0.07791
0.0973975,1.4416e-06,0.064355
0.10239100000000001,1.2726e-06,0.07291
0.10764,1.2892e-06,0.06791
0.11316,1.4048e-06,0.060383
0.11896,1.2678e-06,0.063905
0.12506,1.2118e-06,0.06501
0.131475,1.3644e-06,0.055577
0.13821499999999998,1.4418e-06,0.051359
0.14529999999999998,1.4173e-06,0.050413
0.15275,1.581e-06,0.044014
0.16058,1.4929e-06,0.044869
0.16881,1.6587e-06,0.041548
0.17747,1.6744e-06,0.040825
0.18657,1.6233e-06,0.041577
0.196135,1.7107e-06,0.03912
0.20618999999999998,1.8812e-06,0.03627
0.21676,1.7866e-06,0.037325
0.227875,1.827e-06,0.036213
0.23956,1.8213e-06,0.036103
0.251845,1.8987e-06,0.034828
0.26475499999999996,2.136e-06,0.03124
0.278325,2.1145e-06,0.031867
0.292595,2.2217e-06,0.031145
0.3076,2.4249e-06,0.028773
0.32337000000000005,2.3947e-06,0.028992
0.33995,2.3807e-06,0.029356
0.35738000000000003,2.5462e-06,0.02801
0.37570000000000003,2.4616e-06,0.028552
0.394965,2.3622e-06,0.030036
0.415215,2.4648e-06,0.028583
0.43650500000000003,2.4532e-06,0.028037
0.458885,2.4712e-06,0.029003
0.48241,2.4832e-06,0.028728
0.507145,2.5223e-06,0.028574
0.533145,2.294e-06,0.030882
0.56048,2.3734e-06,0.029815
0.58922,2.2602e-06,0.030556
0.6194299999999999,1.623e-06,0.040938
0.6511899999999999,1.7656e-06,0.038338
0.68458,2.4899e-06,0.029516
0.7196750000000001,2.7669e-06,0.027731
0.75657,2.6964e-06,0.028637
0.79536,2.6136e-06,0.029243
0.83614,2.6058e-06,0.029611
0.8790100000000001,2.8736e-06,0.027218
0.92408,2.9305e-06,0.027056
0.97146,2.8275e-06,0.028735
1.02127,2.901e-06,0.029356
1.07365,3.0345e-06,0.028033
1.1287,3.1323e-06,0.027765
1.18655,3.2775e-06,0.026874
1.2473999999999998,3.1581e-06,0.027583
1.31135,3.4346e-06,0.026377
1.3785500000000002,3.5433e-06,0.026114
1.4492500000000001,3.5986e-06,0.026622
1.5235500000000002,3.7146e-06,0.025792
1.60165,3.635e-06,0.027512
1.6838,3.6213e-06,0.027588
1.7701500000000001,3.6712e-06,0.03236
1.8609,3.6386e-06,0.032286
1.9563,3.5528e-06,0.032206
2.0566,3.4914e-06,0.031791
2.16205,3.2191e-06,0.03388
2.2729,3.05e-06,0.033946
2.3894,2.7915e-06,0.03659
2.5119,2.3783e-06,0.040227
2.6407,1.971e-06,0.045509
2.7761,1.455e-06,0.054341
2.91845,1.2712e-06,0.061866
3.06805,1.4139e-06,0.055628
3.2253499999999997,1.5688e-06,0.050113
3.3907499999999997,1.7245e-06,0.048103
3.5646,1.9446e-06,0.043357
3.74735,2.0365e-06,0.041009
3.93945,1.8605e-06,0.044529
4.14145,2.0604e-06,0.041567
4.3538,2.0293e-06,0.042786
4.577,1.9371e-06,0.045121
4.81165,2.2231e-06,0.039208
5.05835,2.2237e-06,0.040257
5.3177,2.2607e-06,0.041229
5.59035,2.2893e-06,0.042206
5.877000000000001,2.2455e-06,0.042758
6.1783,2.5233e-06,0.039794
6.49505,2.5171e-06,0.041207
6.8281,2.8181e-06,0.038459
7.1782,2.9471e-06,0.039557
7.5462,3.0557e-06,0.040135
7.9331,2.9934e-06,0.041527
8.339849999999998,2.8665e-06,0.044528
8.76745,2.7977e-06,0.045446
9.21695,2.9138e-06,0.045123
9.689499999999999,3.0283e-06,0.043392
10.186350000000001,3.3135e-06,0.043059
10.7085,4.082e-06,0.037353
11.2575,4.9598e-06,0.034022
11.835,5.771e-06,0.0307
12.442,6.139e-06,0.029693
13.0795,6.0593e-06,0.030049
13.75,1.0048e-05,0.022338
14.455,2.0105e-05,0.015187
15.196000000000002,2.5868e-05,0.013248
15.9755,1.0906e-05,0.020032
16.7945,9.8159e-07,0.067712
17.6555,3.3813e-08,0.61671
18.561,-1.7052e-08,1.1174
19.5125,1.2688e-08,1.4008
20.464,9.2827e-10,17.414
