Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,-3.2516e-07,0.0
0.0308395,-2.8429e-07,0.28208
0.0324205,-1.821e-08,13.874
0.034083,-2.3223e-07,0.98673
0.0358305,1.8377e-07,1.0926
0.0376675,-1.384e-07,1.3143
0.039598999999999995,1.0758e-07,1.4924
0.0416295,7.3664e-08,1.968
0.0437635,1.6548e-07,0.81703
0.046007,2.3527e-07,0.52508
0.048366,8.065e-08,1.4548
0.050846,2.5572e-07,0.40832
0.053453,1.4572e-07,0.6206
0.0561935,7.1445e-08,1.1414
0.0590745,1.2861e-07,0.56153
0.062103500000000006,2.6199e-07,0.23633
0.0652875,1.4961e-07,0.38059
0.0686345,1.8726e-07,0.2803
0.0721535,1.6647e-07,0.28749
0.075853,1.8604e-07,0.23434
0.07974200000000001,1.6702e-07,0.24576
0.0838305,2.1741e-07,0.17274
0.088129,2.6207e-07,0.13936
0.0926475,1.3421e-07,0.25687
0.0973975,1.6994e-07,0.19287
0.10239100000000001,2.2921e-07,0.13768
0.10764,1.9062e-07,0.15714
0.11316,2.1414e-07,0.13679
0.11896,2.3644e-07,0.12301
0.12506,1.7394e-07,0.15328
0.131475,2.6642e-07,0.098768
0.13821499999999998,2.6133e-07,0.097692
0.14529999999999998,2.887e-07,0.086291
0.15275,2.7947e-07,0.084593
0.16058,3.1923e-07,0.07416
0.16881,2.6029e-07,0.088391
0.17747,2.7991e-07,0.081751
0.18657,3.1032e-07,0.072155
0.196135,2.9607e-07,0.073178
0.20618999999999998,3.123e-07,0.070672
0.21676,3.3231e-07,0.06687
0.227875,3.268e-07,0.069152
0.23956,3.4351e-07,0.06429
0.251845,3.2416e-07,0.070223
0.26475499999999996,3.2721e-07,0.067532
0.278325,3.0711e-07,0.072549
0.292595,3.2214e-07,0.068
0.3076,3.033e-07,0.072661
0.32337000000000005,2.9162e-07,0.075245
0.33995,2.7973e-07,0.076626
0.35738000000000003,2.7782e-07,0.080271
0.37570000000000003,2.637e-07,0.084298
0.394965,2.2833e-07,0.098233
0.415215,2.7016e-07,0.083981
0.43650500000000003,3.9375e-07,0.062845
0.458885,5.9703e-07,0.044943
0.48241,7.0447e-07,0.04041
0.507145,7.8074e-07,0.037294
0.533145,8.5605e-07,0.034277
0.56048,8.3928e-07,0.03548
0.58922,9.5464e-07,0.032114
0.6194299999999999,9.1707e-07,0.033286
0.6511899999999999,1.0092e-06,0.031206
0.68458,9.8261e-07,0.032645
0.7196750000000001,9.7257e-07,0.03353
0.75657,9.3452e-07,0.034846
0.79536,8.7542e-07,0.036437
0.83614,6.7199e-07,0.0452
0.8790100000000001,4.8719e-07,0.060739
0.92408,3.9466e-07,0.073716
0.97146,3.636e-07,0.081837
1.02127,4.6633e-07,0.067888
1.07365,6.1737e-07,0.054548
1.1287,8.5904e-07,0.042678
1.18655,9.5782e-07,0.03853
1.2473999999999998,9.0636e-07,0.041009
1.31135,8.6319e-07,0.043498
1.3785500000000002,9.9241e-07,0.039933
1.4492500000000001,1.1568e-06,0.035789
1.5235500000000002,1.1166e-06,0.037013
1.60165,1.0792e-06,0.04018
1.6838,1.2039e-06,0.036733
1.7701500000000001,1.4682e-06,0.038173
1.8609,1.2199e-06,0.041377
1.9563,1.3133e-06,0.037969
2.0566,1.6163e-06,0.032172
2.16205,1.9258e-06,0.029543
2.2729,2.2622e-06,0.026424
2.3894,2.5914e-06,0.024218
2.5119,2.3133e-06,0.025608
2.6407,2.1854e-06,0.026541
2.7761,2.2263e-06,0.025988
2.91845,2.5163e-06,0.024114
3.06805,2.6273e-06,0.023729
3.2253499999999997,1.8972e-06,0.028769
3.3907499999999997,1.5604e-06,0.03336
3.5646,1.4284e-06,0.035859
3.74735,1.419e-06,0.036414
3.93945,1.5311e-06,0.035307
4.14145,1.5931e-06,0.034272
4.3538,1.341e-06,0.040087
4.577,1.8475e-06,0.032051
4.81165,2.2106e-06,0.028083
5.05835,2.1252e-06,0.02904
5.3177,1.8558e-06,0.031596
5.59035,2.1273e-06,0.030493
5.877000000000001,2.0489e-06,0.030766
6.1783,1.5333e-06,0.038092
6.49505,1.1465e-06,0.048014
6.8281,9.6557e-07,0.055197
7.1782,1.2674e-06,0.04792
7.5462,2.2422e-06,0.032942
7.9331,2.6685e-06,0.031216
8.339849999999998,3.7808e-06,0.025815
8.76745,4.2162e-06,0.024421
9.21695,2.2525e-06,0.037431
9.689499999999999,6.3923e-07,0.10618
10.186350000000001,5.2935e-07,0.13097
10.7085,7.7294e-07,0.097135
11.2575,9.7582e-07,0.081622
11.835,1.6381e-06,0.050485
12.442,2.4723e-06,0.03663
13.0795,3.7145e-06,0.027231
13.75,9.9327e-06,0.015473
14.455,8.0004e-05,0.0052063
15.196000000000002,0.00022157,0.0030951
15.9755,4.2832e-05,0.0069203
16.7945,2.3229e-06,0.029579
17.6555,5.2317e-07,0.062919
18.561,1.1962e-07,0.14239
19.5125,-1.6088e-09,5.9541
20.464,5.2296e-09,1.3512
