Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,5.6792e-08,0.0
0.0308395,9.0035e-08,0.093634
0.0324205,1.9514e-07,1.0622
0.034083,-4.0185e-09,49.187
0.0358305,4.9545e-08,3.7379
0.0376675,2.2317e-07,0.68923
0.039598999999999995,2.0462e-07,0.68609
0.0416295,-6.3073e-08,2.0166
0.0437635,2.4604e-08,4.9608
0.046007,1.6257e-07,0.67374
0.048366,7.8081e-08,1.3133
0.050846,3.808e-07,0.24189
0.053453,2.3394e-07,0.34767
0.0561935,3.5804e-07,0.19501
0.0590745,3.0563e-07,0.20636
0.062103500000000006,2.149e-07,0.26215
0.0652875,1.8957e-07,0.2726
0.0686345,2.3486e-07,0.19829
0.0721535,1.7511e-07,0.2378
0.075853,2.5221e-07,0.15024
0.07974200000000001,2.3885e-07,0.15389
0.0838305,2.6451e-07,0.13033
0.088129,2.6464e-07,0.12518
0.0926475,2.7365e-07,0.11432
0.0973975,2.4856e-07,0.11953
0.10239100000000001,2.5137e-07,0.11096
0.10764,2.6638e-07,0.10113
0.11316,2.5414e-07,0.10189
0.11896,3.0709e-07,0.080782
0.12506,3.1058e-07,0.07846
0.131475,2.9442e-07,0.078285
0.13821499999999998,2.8964e-07,0.079394
0.14529999999999998,2.8873e-07,0.077146
0.15275,2.9328e-07,0.074229
0.16058,3.0062e-07,0.071944
0.16881,3.1486e-07,0.065359
0.17747,2.7451e-07,0.073435
0.18657,3.5411e-07,0.057133
0.196135,3.6264e-07,0.054801
0.20618999999999998,3.2531e-07,0.062299
0.21676,3.8242e-07,0.053365
0.227875,3.5531e-07,0.057765
0.23956,3.1743e-07,0.062513
0.251845,3.6553e-07,0.056722
0.26475499999999996,3.8056e-07,0.053572
0.278325,3.8241e-07,0.053407
0.292595,3.8624e-07,0.053155
0.3076,3.2358e-07,0.065102
0.32337000000000005,3.1657e-07,0.064002
0.33995,3.0035e-07,0.068356
0.35738000000000003,2.4544e-07,0.081468
0.37570000000000003,2.8526e-07,0.070072
0.394965,2.567e-07,0.07846
0.415215,2.8148e-07,0.073567
0.43650500000000003,4.2809e-07,0.054008
0.458885,5.7377e-07,0.042608
0.48241,7.2295e-07,0.036305
0.507145,8.4237e-07,0.031728
0.533145,8.9984e-07,0.029923
0.56048,9.7631e-07,0.028133
0.58922,9.8757e-07,0.028305
0.6194299999999999,1.0192e-06,0.028141
0.6511899999999999,1.0407e-06,0.028015
0.68458,1.0484e-06,0.028213
0.7196750000000001,1.0403e-06,0.029015
0.75657,1.0807e-06,0.028166
0.79536,9.8005e-07,0.030723
0.83614,7.9138e-07,0.036493
0.8790100000000001,5.4391e-07,0.050246
0.92408,4.4837e-07,0.060141
0.97146,4.2982e-07,0.062441
1.02127,4.8912e-07,0.057558
1.07365,6.592e-07,0.046677
1.1287,9.015e-07,0.03668
1.18655,9.9169e-07,0.034914
1.2473999999999998,9.3443e-07,0.036727
1.31135,8.9013e-07,0.039422
1.3785500000000002,1.0756e-06,0.034348
1.4492500000000001,1.1799e-06,0.032801
1.5235500000000002,1.202e-06,0.032815
1.60165,1.1392e-06,0.035391
1.6838,1.338e-06,0.030799
1.7701500000000001,1.5274e-06,0.033204
1.8609,1.3002e-06,0.036165
1.9563,1.4713e-06,0.032347
2.0566,1.624e-06,0.031098
2.16205,1.957e-06,0.026831
2.2729,2.4216e-06,0.02336
2.3894,2.8154e-06,0.021126
2.5119,2.519e-06,0.022111
2.6407,2.3994e-06,0.022459
2.7761,2.3795e-06,0.022101
2.91845,2.5461e-06,0.021375
3.06805,2.5802e-06,0.021351
3.2253499999999997,1.8643e-06,0.026786
3.3907499999999997,1.5911e-06,0.02973
3.5646,1.4834e-06,0.031687
3.74735,1.4127e-06,0.032397
3.93945,1.5164e-06,0.031238
4.14145,1.5825e-06,0.030203
4.3538,1.3982e-06,0.033441
4.577,1.6903e-06,0.029388
4.81165,2.1357e-06,0.025062
5.05835,1.9422e-06,0.026188
5.3177,2.0906e-06,0.026214
5.59035,2.3995e-06,0.024108
5.877000000000001,1.9296e-06,0.028063
6.1783,1.4714e-06,0.034452
6.49505,1.0788e-06,0.042641
6.8281,1.1225e-06,0.043111
7.1782,1.7342e-06,0.033353
7.5462,2.6958e-06,0.02626
7.9331,3.4793e-06,0.022805
8.339849999999998,4.2421e-06,0.020675
8.76745,3.7472e-06,0.022875
9.21695,1.7026e-06,0.0389
9.689499999999999,6.0081e-07,0.094311
10.186350000000001,4.8981e-07,0.11121
10.7085,5.8397e-07,0.10163
11.2575,8.4505e-07,0.074928
11.835,1.1611e-06,0.05688
12.442,1.9222e-06,0.037511
13.0795,2.6824e-06,0.029688
13.75,6.0292e-06,0.018056
14.455,3.7609e-05,0.0067972
15.196000000000002,7.3854e-05,0.004795
15.9755,1.6917e-05,0.0098597
16.7945,3.3077e-06,0.021955
17.6555,9.6598e-07,0.040228
18.561,3.0568e-07,0.072984
19.5125,1.3587e-07,0.11023
20.464,3.12e-08,0.28297
