Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,9.6182e-08,0.0
0.0308395,-3.8826e-08,43.651
0.0324205,-1.5398e-06,1.2279
0.034083,-1.4725e-06,1.1342
0.0358305,-1.8573e-07,7.9945
0.0376675,-3.1356e-07,4.2287
0.039598999999999995,6.4079e-07,1.839
0.0416295,1.1182e-06,0.95528
0.0437635,9.3458e-07,1.029
0.046007,1.1728e-06,0.77418
0.048366,1.327e-06,0.63614
0.050846,-1.3825e-08,53.762
0.053453,-1.9791e-08,32.518
0.0561935,3.8374e-07,1.467
0.0590745,5.4566e-07,0.9162
0.062103500000000006,3.6533e-07,1.1932
0.0652875,6.1912e-07,0.62721
0.0686345,6.3957e-08,5.4563
0.0721535,4.6994e-07,0.66786
0.075853,1.1763e-07,2.4544
0.07974200000000001,3.7668e-07,0.69609
0.0838305,7.5406e-07,0.32283
0.088129,2.799e-07,0.8226
0.0926475,3.2016e-07,0.67334
0.0973975,7.4098e-07,0.26898
0.10239100000000001,6.3633e-07,0.29338
0.10764,5.586e-07,0.3209
0.11316,6.6098e-07,0.25312
0.11896,4.7961e-07,0.33237
0.12506,8.9899e-07,0.1671
0.131475,7.7352e-07,0.1848
0.13821499999999998,7.0368e-07,0.19553
0.14529999999999998,8.2653e-07,0.1597
0.15275,1.0034e-06,0.12585
0.16058,7.4537e-07,0.16639
0.16881,1.0379e-06,0.11429
0.17747,1.1736e-06,0.099218
0.18657,1.3324e-06,0.08442
0.196135,1.2777e-06,0.086776
0.20618999999999998,1.3467e-06,0.081217
0.21676,1.5024e-06,0.07174
0.227875,1.5687e-06,0.067655
0.23956,1.6484e-06,0.063438
0.251845,1.9261e-06,0.053886
0.26475499999999996,1.9426e-06,0.05342
0.278325,2.2328e-06,0.045319
0.292595,2.5474e-06,0.039729
0.3076,2.4334e-06,0.041831
0.32337000000000005,2.8159e-06,0.035834
0.33995,2.7451e-06,0.036746
0.35738000000000003,2.6832e-06,0.037491
0.37570000000000003,2.9204e-06,0.034615
0.394965,3.4653e-06,0.030144
0.415215,3.6993e-06,0.02894
0.43650500000000003,4.536e-06,0.023913
0.458885,5.1453e-06,0.021175
0.48241,5.6068e-06,0.019783
0.507145,6.2368e-06,0.017769
0.533145,5.7562e-06,0.018528
0.56048,5.6178e-06,0.01871
0.58922,5.7435e-06,0.018262
0.6194299999999999,6.0855e-06,0.017225
0.6511899999999999,6.2131e-06,0.017097
0.68458,6.2951e-06,0.017225
0.7196750000000001,6.4212e-06,0.016864
0.75657,6.4342e-06,0.016933
0.79536,6.615e-06,0.01628
0.83614,6.42e-06,0.016552
0.8790100000000001,6.6561e-06,0.016091
0.92408,7.24e-06,0.015302
0.97146,7.3135e-06,0.015357
1.02127,7.538e-06,0.014935
1.07365,7.4955e-06,0.015168
1.1287,7.6157e-06,0.015015
1.18655,7.5935e-06,0.014898
1.2473999999999998,7.8309e-06,0.01484
1.31135,7.3858e-06,0.015663
1.3785500000000002,7.7612e-06,0.014922
1.4492500000000001,7.4713e-06,0.015538
1.5235500000000002,7.6661e-06,0.01529
1.60165,7.6252e-06,0.015504
1.6838,7.1765e-06,0.016487
1.7701500000000001,7.6345e-06,0.017253
1.8609,7.5818e-06,0.016605
1.9563,6.8388e-06,0.017217
2.0566,6.0774e-06,0.018183
2.16205,5.7759e-06,0.018865
2.2729,5.0272e-06,0.020399
2.3894,4.6093e-06,0.02134
2.5119,4.3058e-06,0.021676
2.6407,3.7375e-06,0.023575
2.7761,3.2718e-06,0.025787
2.91845,2.8142e-06,0.027493
3.06805,2.4141e-06,0.029497
3.2253499999999997,2.0203e-06,0.033233
3.3907499999999997,1.9446e-06,0.03425
3.5646,1.5594e-06,0.038549
3.74735,1.4706e-06,0.03988
3.93945,1.1754e-06,0.047948
4.14145,1.0896e-06,0.050189
4.3538,9.8137e-07,0.052363
4.577,7.5892e-07,0.069447
4.81165,6.4913e-07,0.080497
5.05835,5.935e-07,0.083704
5.3177,6.0138e-07,0.081138
5.59035,5.3179e-07,0.093552
5.877000000000001,4.6235e-07,0.11501
6.1783,4.816e-07,0.11804
6.49505,5.3145e-07,0.10519
6.8281,4.5821e-07,0.11992
7.1782,3.9991e-07,0.14321
7.5462,3.5759e-07,0.16375
7.9331,4.1581e-07,0.14479
8.339849999999998,5.1316e-07,0.12075
8.76745,5.6736e-07,0.11301
9.21695,5.7689e-07,0.11695
9.689499999999999,5.5385e-07,0.13024
10.186350000000001,5.4153e-07,0.13511
10.7085,7.7084e-07,0.098732
11.2575,4.5671e-07,0.16179
11.835,4.6483e-07,0.15431
12.442,8.6579e-07,0.089039
13.0795,3.8079e-07,0.17841
13.75,6.0596e-07,0.10362
14.455,4.2289e-06,0.027149
15.196000000000002,1.3789e-05,0.014331
15.9755,3.9315e-06,0.02678
16.7945,8.8015e-08,0.32752
17.6555,2.6732e-08,0.80032
18.561,3.0614e-08,0.67716
19.5125,-1.8333e-08,1.132
20.464,-1.3235e-08,1.396
