Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,2.8298e-06,0.047973
0.0324205,4.5974e-07,3.5822
0.034083,2.154e-06,0.71499
0.0358305,3.3171e-08,40.574
0.0376675,7.0977e-07,1.6995
0.039598999999999995,1.6773e-06,0.62598
0.0416295,5.5738e-07,1.7261
0.0437635,4.4644e-07,2.0067
0.046007,2.1617e-06,0.37975
0.048366,-1.4692e-07,5.2275
0.050846,1.3258e-06,0.51479
0.053453,1.3494e-06,0.43578
0.0561935,9.1788e-07,0.56004
0.0590745,-3.1668e-07,1.4371
0.062103500000000006,1.4669e-07,2.7244
0.0652875,4.3477e-07,0.81943
0.0686345,3.8599e-07,0.80682
0.0721535,5.5195e-07,0.52019
0.075853,7.5598e-07,0.34147
0.07974200000000001,8.7078e-07,0.2743
0.0838305,2.6231e-07,0.85228
0.088129,9.6793e-08,2.1797
0.0926475,2.571e-07,0.75644
0.0973975,2.0478e-07,0.88924
0.10239100000000001,3.5095e-07,0.48791
0.10764,2.7727e-07,0.58346
0.11316,3.6012e-07,0.42726
0.11896,3.113e-07,0.4663
0.12506,5.3396e-07,0.25884
0.131475,6.7167e-07,0.19809
0.13821499999999998,7.5907e-07,0.16554
0.14529999999999998,5.7658e-07,0.20781
0.15275,4.2643e-07,0.27322
0.16058,6.7771e-07,0.16602
0.16881,7.6766e-07,0.14119
0.17747,9.7093e-07,0.10813
0.18657,6.7694e-07,0.15164
0.196135,9.5334e-07,0.10576
0.20618999999999998,1.1067e-06,0.089197
0.21676,1.0913e-06,0.089377
0.227875,1.2319e-06,0.077488
0.23956,1.1081e-06,0.084831
0.251845,1.4288e-06,0.065972
0.26475499999999996,1.4218e-06,0.065047
0.278325,1.6977e-06,0.053829
0.292595,1.7096e-06,0.05401
0.3076,1.8259e-06,0.050001
0.32337000000000005,2.1143e-06,0.042569
0.33995,1.7534e-06,0.051897
0.35738000000000003,1.8084e-06,0.050738
0.37570000000000003,2.3115e-06,0.038863
0.394965,2.5921e-06,0.035941
0.415215,2.8915e-06,0.033361
0.43650500000000003,3.163e-06,0.030788
0.458885,3.6924e-06,0.026521
0.48241,4.255e-06,0.023311
0.507145,4.1777e-06,0.023602
0.533145,4.0419e-06,0.02347
0.56048,4.1403e-06,0.022612
0.58922,4.2293e-06,0.021991
0.6194299999999999,4.1157e-06,0.022628
0.6511899999999999,4.3395e-06,0.021949
0.68458,4.7307e-06,0.020151
0.7196750000000001,4.6748e-06,0.020442
0.75657,4.9101e-06,0.019644
0.79536,4.8234e-06,0.019983
0.83614,4.5955e-06,0.020635
0.8790100000000001,4.7898e-06,0.020024
0.92408,5.2591e-06,0.018505
0.97146,5.2196e-06,0.018756
1.02127,5.0688e-06,0.019765
1.07365,5.1905e-06,0.019139
1.1287,5.3059e-06,0.01899
1.18655,5.4333e-06,0.018602
1.2473999999999998,5.4978e-06,0.018807
1.31135,5.4901e-06,0.018458
1.3785500000000002,5.3782e-06,0.019213
1.4492500000000001,5.3601e-06,0.019129
1.5235500000000002,5.2962e-06,0.019733
1.60165,5.2997e-06,0.020029
1.6838,4.862e-06,0.021677
1.7701500000000001,5.1685e-06,0.020791
1.8609,4.9692e-06,0.021083
1.9563,4.4769e-06,0.022102
2.0566,3.9802e-06,0.023362
2.16205,3.813e-06,0.02377
2.2729,3.4131e-06,0.025116
2.3894,2.9956e-06,0.027742
2.5119,2.9146e-06,0.027458
2.6407,2.4596e-06,0.030839
2.7761,2.176e-06,0.032537
2.91845,1.7039e-06,0.038987
3.06805,1.4436e-06,0.046818
3.2253499999999997,1.3059e-06,0.04986
3.3907499999999997,1.1243e-06,0.057222
3.5646,1.0418e-06,0.061502
3.74735,9.5255e-07,0.067491
3.93945,6.4999e-07,0.10102
4.14145,7.0708e-07,0.09201
4.3538,5.6808e-07,0.10871
4.577,3.1794e-07,0.19216
4.81165,4.4365e-07,0.12498
5.05835,4.0354e-07,0.12915
5.3177,2.58e-07,0.19575
5.59035,2.9688e-07,0.1696
5.877000000000001,2.1557e-07,0.24108
6.1783,2.7838e-07,0.18702
6.49505,2.4268e-07,0.23058
6.8281,3.0885e-07,0.20628
7.1782,2.4241e-07,0.28381
7.5462,3.0226e-07,0.2431
7.9331,2.8593e-07,0.28747
8.339849999999998,2.6064e-07,0.32671
8.76745,2.4582e-07,0.37648
9.21695,1.3314e-07,0.75293
9.689499999999999,4.4537e-07,0.22859
10.186350000000001,3.4965e-07,0.30776
10.7085,2.6161e-07,0.45222
11.2575,3.931e-07,0.30249
11.835,1.4053e-07,0.88837
12.442,3.5503e-07,0.32702
13.0795,2.9565e-07,0.36017
13.75,4.7328e-07,0.19505
14.455,1.2438e-06,0.07283
15.196000000000002,2.5236e-06,0.037334
15.9755,1.1088e-06,0.055053
16.7945,1.0328e-07,0.2607
17.6555,-7.2873e-09,3.6179
18.561,4.1446e-08,0.46616
19.5125,1.869e-08,0.99412
20.464,1.6022e-08,1.2603
