Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,0.0,0.0
7.0,19.47,0.418
8.0,20.16,0.18100000000000002
9.0,19.43,0.015
10.0,18.99,0.111
11.0,19.21,0.14
12.0,19.88,0.133
13.0,20.85,0.098
14.0,21.98,0.052000000000000005
15.0,23.14,0.027999999999999997
16.0,24.24,0.039
17.0,25.35,0.078
18.0,26.69,0.114
19.0,28.43,0.111
20.0,30.61,0.065
21.0,33.12,0.022000000000000002
22.0,35.75,0.08900000000000001
23.0,38.3,0.145
24.0,40.63,0.177
25.0,42.65,0.18600000000000003
26.0,44.4,0.17600000000000002
27.0,45.97,0.153
28.0,47.51,0.125
29.0,49.11,0.099
30.0,50.74,0.079
31.0,52.3,0.066
32.0,53.62,0.06
33.0,54.6,0.064
34.0,55.51,0.075
35.0,58.36,0.078
36.0,70.55,0.071
37.0,107.2,0.141
38.0,179.2,0.18100000000000002
39.0,266.1,0.151
40.0,316.3,0.067
41.0,295.8,0.07400000000000001
42.0,222.4,0.233
43.0,139.3,0.349
44.0,76.43,0.304
