Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,4.087,0.141
9.0,5.059,0.01
10.0,5.412,0.061
11.0,5.508,0.077
12.0,5.513,0.075
13.0,5.433,0.057999999999999996
14.0,5.338,0.033
15.0,5.398,0.019
16.0,5.747,0.024
17.0,6.344,0.045
18.0,6.978,0.064
19.0,7.403,0.063
20.0,7.502,0.04
21.0,7.326,0.018000000000000002
22.0,7.027,0.071
23.0,6.765,0.129
24.0,6.657,0.17
25.0,6.766,0.185
26.0,7.097,0.17300000000000001
27.0,7.606,0.145
28.0,8.207,0.113
29.0,8.812,0.086
30.0,9.362,0.068
31.0,9.846,0.057
32.0,10.27,0.054000000000000006
33.0,10.64,0.057
34.0,10.95,0.066
35.0,11.4,0.068
36.0,12.83,0.046
37.0,16.92,0.098
38.0,24.66,0.152
39.0,33.9,0.135
40.0,40.12,0.063
41.0,40.07,0.055
42.0,33.36,0.149
43.0,22.35,0.20800000000000002
44.0,11.48,0.2
