Energy [MeV],Yield per lethargy [1/u],Relative error [-]
5.0,31.96,0.736
6.0,50.12,0.282
7.0,48.23,0.382
8.0,56.9,0.14400000000000002
9.0,67.97,0.077
10.0,73.65,0.151
11.0,78.37,0.179
12.0,81.44,0.177
13.0,80.43,0.121
14.0,77.48,0.027000000000000003
15.0,78.39,0.055999999999999994
16.0,87.52,0.032
17.0,103.3,0.11699999999999999
18.0,119.2,0.184
19.0,129.7,0.17600000000000002
20.0,133.3,0.10300000000000001
21.0,132.4,0.03
22.0,130.2,0.14
23.0,129.5,0.244
24.0,133.0,0.304
25.0,142.5,0.304
26.0,157.8,0.251
27.0,175.6,0.183
28.0,191.9,0.126
29.0,202.8,0.096
30.0,207.1,0.08900000000000001
31.0,205.2,0.09300000000000001
32.0,197.3,0.09699999999999999
33.0,182.9,0.098
34.0,163.5,0.11199999999999999
35.0,151.5,0.139
36.0,190.5,0.11
37.0,371.0,0.031
38.0,794.2,0.033
39.0,1451.0,0.036000000000000004
40.0,2112.0,0.027999999999999997
41.0,2429.0,0.017
42.0,2215.0,0.016
43.0,1609.0,0.048
44.0,929.1,0.1
