Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,0.0,0.0
9.0,34.11,0.08
10.0,44.91,0.06
11.0,52.44,0.047
12.0,56.59,0.042
13.0,58.52,0.033
14.0,59.61,0.022000000000000002
15.0,60.89,0.018000000000000002
16.0,62.89,0.026000000000000002
17.0,65.69,0.04
18.0,69.02,0.049
19.0,72.56,0.047
20.0,76.16,0.032
21.0,79.89,0.018000000000000002
22.0,83.88,0.038
23.0,88.23,0.057
24.0,92.95,0.069
25.0,98.0,0.07200000000000001
26.0,103.3,0.067
27.0,108.6,0.059000000000000004
28.0,114.0,0.051
29.0,119.3,0.045
30.0,124.4,0.042
31.0,129.2,0.040999999999999995
32.0,133.7,0.040999999999999995
33.0,137.6,0.040999999999999995
34.0,140.9,0.042
35.0,143.4,0.042
36.0,145.4,0.040999999999999995
37.0,146.9,0.040999999999999995
38.0,148.3,0.04
39.0,149.8,0.037000000000000005
40.0,151.7,0.034
41.0,153.8,0.028999999999999998
42.0,156.2,0.026000000000000002
43.0,158.6,0.024
44.0,160.6,0.024
46.0,162.1,0.025
48.0,160.5,0.027999999999999997
50.0,153.9,0.03
52.0,142.6,0.035
54.0,127.8,0.051
56.0,114.4,0.066
58.0,117.2,0.035
60.0,156.4,0.109
62.0,233.6,0.102
64.0,338.9,0.038
66.0,393.5,0.047
68.0,293.9,0.071
70.0,137.6,0.05
