Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,0.0,0.0
9.0,4.155,0.059000000000000004
10.0,5.575,0.044000000000000004
11.0,6.58,0.035
12.0,7.126,0.031
13.0,7.37,0.024
14.0,7.49,0.016
15.0,7.589,0.013000000000000001
16.0,7.715,0.019
17.0,7.902,0.03
18.0,8.169,0.038
19.0,8.516,0.036000000000000004
20.0,8.93,0.025
21.0,9.382,0.013000000000000001
22.0,9.843,0.028999999999999998
23.0,10.29,0.045
24.0,10.71,0.055
25.0,11.1,0.059000000000000004
26.0,11.47,0.055999999999999994
27.0,11.82,0.05
28.0,12.17,0.044000000000000004
29.0,12.52,0.039
30.0,12.87,0.036000000000000004
31.0,13.23,0.035
32.0,13.58,0.036000000000000004
33.0,13.88,0.036000000000000004
34.0,14.11,0.036000000000000004
35.0,14.24,0.036000000000000004
36.0,14.27,0.036000000000000004
37.0,14.23,0.036000000000000004
38.0,14.13,0.035
39.0,13.99,0.033
40.0,13.85,0.03
41.0,13.7,0.026000000000000002
42.0,13.58,0.024
43.0,13.45,0.023
44.0,13.33,0.023
46.0,13.11,0.025
48.0,12.64,0.028999999999999998
50.0,11.91,0.031
52.0,10.96,0.035
54.0,9.937,0.048
56.0,8.923,0.062
58.0,8.15,0.036000000000000004
60.0,8.997,0.138
62.0,13.4,0.129
64.0,18.03,0.051
66.0,16.36,0.08
68.0,10.32,0.14
70.0,5.767,0.084
