Energy [MeV],Yield per lethargy [1/u],Relative error [-]
8.0,15.77,0.03
9.0,14.01,0.044000000000000004
10.0,12.93,0.07200000000000001
11.0,12.76,0.095
12.0,13.0,0.11
13.0,13.09,0.092
14.0,13.31,0.057
15.0,13.98,0.11
16.0,14.88,0.095
17.0,15.65,0.13699999999999998
18.0,16.33,0.179
19.0,17.13,0.155
20.0,18.07,0.09300000000000001
21.0,19.14,0.05
22.0,20.43,0.091
23.0,22.12,0.128
24.0,24.3,0.153
25.0,26.7,0.15
26.0,28.74,0.121
27.0,30.07,0.086
28.0,30.96,0.064
29.0,32.08,0.063
30.0,33.81,0.078
31.0,35.97,0.087
32.0,38.26,0.079
33.0,40.57,0.067
34.0,42.91,0.061
35.0,45.23,0.062
36.0,47.31,0.068
37.0,48.91,0.07400000000000001
38.0,49.97,0.076
39.0,50.6,0.073
40.0,51.04,0.066
41.0,51.6,0.057999999999999996
42.0,52.62,0.053
43.0,54.25,0.053
44.0,56.39,0.053
46.0,59.53,0.052000000000000005
48.0,61.62,0.05
50.0,60.67,0.043
52.0,57.0,0.040999999999999995
54.0,49.67,0.054000000000000006
56.0,38.24,0.122
58.0,30.27,0.192
60.0,75.27,0.132
62.0,173.9,0.121
64.0,242.6,0.085
66.0,290.8,0.059000000000000004
68.0,142.9,0.085
70.0,24.95,0.138
