Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,-5.2395e-06,0.18242
0.0308395,8.3845e-07,2.4178
0.0324205,1.1623e-06,1.5211
0.034083,7.0695e-07,2.1965
0.0358305,3.506e-07,3.8857
0.0376675,5.248e-07,2.3752
0.039598999999999995,-3.5945e-07,3.0781
0.0416295,1.3201e-06,0.73097
0.0437635,1.1225e-06,0.81657
0.046007,-5.7589e-07,1.4644
0.048366,7.0778e-07,1.1004
0.050846,1.6892e-06,0.40615
0.053453,3.4467e-07,1.7434
0.0561935,-3.238e-09,163.28
0.0590745,2.0785e-07,2.1766
0.062103500000000006,-1.4173e-08,28.817
0.0652875,1.0015e-06,0.35971
0.0686345,5.8187e-07,0.56608
0.0721535,7.2119e-07,0.40481
0.075853,9.2168e-07,0.2822
0.07974200000000001,7.6199e-07,0.32583
0.0838305,3.2253e-07,0.71829
0.088129,8.2882e-07,0.25725
0.0926475,7.9517e-07,0.24794
0.0973975,6.3436e-07,0.30125
0.10239100000000001,5.6254e-07,0.31986
0.10764,9.5362e-07,0.17615
0.11316,4.3e-07,0.37796
0.11896,7.0562e-07,0.21218
0.12506,8.4189e-07,0.17072
0.131475,9.8669e-07,0.13933
0.13821499999999998,7.9555e-07,0.16479
0.14529999999999998,9.7536e-07,0.13132
0.15275,9.0223e-07,0.13706
0.16058,1.1538e-06,0.10424
0.16881,1.2123e-06,0.098128
0.17747,1.5893e-06,0.071175
0.18657,1.5813e-06,0.071433
0.196135,1.8445e-06,0.059345
0.20618999999999998,1.7341e-06,0.064612
0.21676,1.9629e-06,0.056162
0.227875,2.1896e-06,0.050067
0.23956,2.2493e-06,0.048401
0.251845,2.4081e-06,0.045642
0.26475499999999996,2.8225e-06,0.039268
0.278325,3.0641e-06,0.035631
0.292595,3.5336e-06,0.031965
0.3076,3.8869e-06,0.028837
0.32337000000000005,4.1134e-06,0.028245
0.33995,4.0349e-06,0.028277
0.35738000000000003,4.4657e-06,0.02578
0.37570000000000003,5.3552e-06,0.022925
0.394965,5.8304e-06,0.021953
0.415215,6.2841e-06,0.020751
0.43650500000000003,6.8473e-06,0.019694
0.458885,7.6766e-06,0.01817
0.48241,9.2685e-06,0.015894
0.507145,8.9127e-06,0.015984
0.533145,8.695e-06,0.016109
0.56048,9.2378e-06,0.015008
0.58922,9.9982e-06,0.014528
0.6194299999999999,1.0526e-05,0.013846
0.6511899999999999,1.1159e-05,0.013731
0.68458,1.1676e-05,0.013334
0.7196750000000001,1.1728e-05,0.013323
0.75657,1.2838e-05,0.012561
0.79536,1.2756e-05,0.012625
0.83614,1.3659e-05,0.012135
0.8790100000000001,1.5283e-05,0.011201
0.92408,1.5665e-05,0.011222
0.97146,1.55e-05,0.011511
1.02127,1.6362e-05,0.011208
1.07365,1.7292e-05,0.010885
1.1287,1.7205e-05,0.010849
1.18655,1.8175e-05,0.010543
1.2473999999999998,1.7523e-05,0.010844
1.31135,1.8267e-05,0.010722
1.3785500000000002,1.7798e-05,0.010982
1.4492500000000001,1.8563e-05,0.010754
1.5235500000000002,1.92e-05,0.010622
1.60165,1.9329e-05,0.010599
1.6838,1.7315e-05,0.011407
1.7701500000000001,1.9939e-05,0.014046
1.8609,2.0247e-05,0.013542
1.9563,1.8974e-05,0.013786
2.0566,1.8464e-05,0.013742
2.16205,1.7679e-05,0.014062
2.2729,1.6621e-05,0.014245
2.3894,1.6552e-05,0.014165
2.5119,1.5941e-05,0.014428
2.6407,1.4925e-05,0.015
2.7761,1.4729e-05,0.015042
2.91845,1.4361e-05,0.015298
3.06805,1.4963e-05,0.014972
3.2253499999999997,1.354e-05,0.016172
3.3907499999999997,1.1712e-05,0.017697
3.5646,1.176e-05,0.017753
3.74735,1.1021e-05,0.018657
3.93945,9.7916e-06,0.020048
4.14145,9.1773e-06,0.021098
4.3538,9.1942e-06,0.021057
4.577,8.876e-06,0.021565
4.81165,8.4438e-06,0.02259
5.05835,7.938e-06,0.023163
5.3177,7.6805e-06,0.024101
5.59035,7.4557e-06,0.024428
5.877000000000001,7.7451e-06,0.024002
6.1783,7.2529e-06,0.025498
6.49505,6.9738e-06,0.026937
6.8281,7.1416e-06,0.027539
7.1782,7.3023e-06,0.027627
7.5462,7.1351e-06,0.028623
7.9331,6.8202e-06,0.032071
8.339849999999998,7.104e-06,0.032431
8.76745,7.8957e-06,0.030099
9.21695,8.8555e-06,0.029246
9.689499999999999,9.699e-06,0.028115
10.186350000000001,9.6872e-06,0.02855
10.7085,1.2486e-05,0.024747
11.2575,1.3426e-05,0.024232
11.835,1.6766e-05,0.020897
12.442,3.1849e-05,0.014024
13.0795,4.2471e-05,0.012082
13.75,0.00010029,0.0075652
14.455,0.0012572,0.0020779
15.196000000000002,0.006321,0.00091795
15.9755,0.001453,0.0018809
16.7945,7.366e-06,0.026519
17.6555,2.8392e-07,0.1605
18.561,-2.8998e-08,1.3142
19.5125,8.8989e-08,0.34556
20.464,4.0856e-08,0.60445
