Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,-3.7254e-06,0.29805
0.0308395,-1.8949e-06,1.2762
0.0324205,1.5955e-06,1.3179
0.034083,-2.5086e-06,0.74589
0.0358305,-2.4203e-06,0.67543
0.0376675,2.7806e-08,53.806
0.039598999999999995,1.7232e-06,0.75599
0.0416295,-1.9206e-06,0.61033
0.0437635,7.8362e-07,1.4065
0.046007,3.4478e-07,2.8851
0.048366,-2.2106e-07,4.2782
0.050846,1.8369e-06,0.44445
0.053453,-8.5003e-07,0.853
0.0561935,1.3018e-06,0.47884
0.0590745,6.7158e-08,8.154
0.062103500000000006,5.2927e-07,0.92216
0.0652875,2.151e-08,20.179
0.0686345,-8.4438e-08,4.6265
0.0721535,-4.9239e-07,0.70148
0.075853,-1.4708e-08,21.641
0.07974200000000001,1.2788e-08,22.851
0.0838305,4.5842e-07,0.59539
0.088129,7.4978e-08,3.4343
0.0926475,3.488e-08,6.8616
0.0973975,2.8913e-07,0.77386
0.10239100000000001,3.7178e-07,0.56408
0.10764,1.4564e-07,1.3463
0.11316,2.394e-07,0.78035
0.11896,1.0015e-07,1.7803
0.12506,7.0666e-08,2.3549
0.131475,5.9326e-07,0.26786
0.13821499999999998,3.8228e-07,0.39549
0.14529999999999998,5.6252e-07,0.26004
0.15275,4.237e-07,0.33035
0.16058,5.4968e-07,0.24408
0.16881,7.9219e-07,0.16335
0.17747,7.6607e-07,0.16532
0.18657,1.0039e-06,0.12131
0.196135,5.2744e-07,0.22964
0.20618999999999998,6.2153e-07,0.1915
0.21676,7.1224e-07,0.16332
0.227875,7.8442e-07,0.14703
0.23956,8.6909e-07,0.13005
0.251845,8.2675e-07,0.13676
0.26475499999999996,1.1018e-06,0.10179
0.278325,1.1679e-06,0.093566
0.292595,1.3194e-06,0.082784
0.3076,1.3864e-06,0.07786
0.32337000000000005,1.5263e-06,0.070414
0.33995,1.9517e-06,0.05507
0.35738000000000003,1.7175e-06,0.062898
0.37570000000000003,1.7609e-06,0.061054
0.394965,1.9367e-06,0.056903
0.415215,2.119e-06,0.052899
0.43650500000000003,2.3297e-06,0.047584
0.458885,2.4237e-06,0.046054
0.48241,2.5399e-06,0.043918
0.507145,2.9258e-06,0.037619
0.533145,3.1992e-06,0.033945
0.56048,3.332e-06,0.032521
0.58922,3.6356e-06,0.030042
0.6194299999999999,3.7901e-06,0.028317
0.6511899999999999,4.0841e-06,0.027055
0.68458,4.3611e-06,0.025609
0.7196750000000001,4.3843e-06,0.025596
0.75657,4.8089e-06,0.02364
0.79536,4.9836e-06,0.022955
0.83614,5.0096e-06,0.022758
0.8790100000000001,5.2021e-06,0.021984
0.92408,5.5914e-06,0.020886
0.97146,5.8551e-06,0.020583
1.02127,5.8594e-06,0.020876
1.07365,6.0634e-06,0.020071
1.1287,6.2446e-06,0.019809
1.18655,6.5891e-06,0.018858
1.2473999999999998,6.8917e-06,0.018266
1.31135,6.8188e-06,0.01857
1.3785500000000002,6.8291e-06,0.018739
1.4492500000000001,7.0821e-06,0.018201
1.5235500000000002,7.3882e-06,0.01779
1.60165,7.7153e-06,0.017313
1.6838,7.6672e-06,0.017367
1.7701500000000001,8.0756e-06,0.018673
1.8609,8.299e-06,0.017779
1.9563,8.2899e-06,0.017273
2.0566,8.1054e-06,0.017314
2.16205,7.9865e-06,0.017408
2.2729,7.7237e-06,0.017689
2.3894,7.4926e-06,0.0178
2.5119,7.1112e-06,0.01797
2.6407,6.745e-06,0.018328
2.7761,5.9772e-06,0.019759
2.91845,5.6495e-06,0.02047
3.06805,5.1357e-06,0.021977
3.2253499999999997,4.7726e-06,0.022737
3.3907499999999997,4.0719e-06,0.025829
3.5646,3.7274e-06,0.027514
3.74735,3.18e-06,0.030851
3.93945,3.1294e-06,0.03098
4.14145,2.7027e-06,0.034348
4.3538,2.2979e-06,0.03727
4.577,2.2375e-06,0.038196
4.81165,1.8957e-06,0.043619
5.05835,1.9978e-06,0.039506
5.3177,1.5677e-06,0.049206
5.59035,1.5424e-06,0.050698
5.877000000000001,1.3753e-06,0.056435
6.1783,1.3425e-06,0.059836
6.49505,1.1696e-06,0.069625
6.8281,1.1587e-06,0.074824
7.1782,1.2912e-06,0.070587
7.5462,1.0919e-06,0.083946
7.9331,1.179e-06,0.08419
8.339849999999998,1.4648e-06,0.072284
8.76745,1.4986e-06,0.074418
9.21695,1.4548e-06,0.084598
9.689499999999999,1.8015e-06,0.069249
10.186350000000001,1.8896e-06,0.069494
10.7085,2.4371e-06,0.058601
11.2575,1.6552e-06,0.084264
11.835,1.4514e-06,0.090756
12.442,2.9861e-06,0.047117
13.0795,1.8375e-06,0.06257
13.75,2.0944e-06,0.05173
14.455,2.8478e-05,0.011273
15.196000000000002,0.0001135,0.0055459
15.9755,2.8372e-05,0.010917
16.7945,6.8394e-07,0.074807
17.6555,7.0361e-08,0.34121
18.561,-1.2276e-08,1.7795
19.5125,-2.143e-08,0.99537
20.464,-4.6142e-08,0.44158
