Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,555.5,0.157
7.0,764.0,0.45399999999999996
8.0,789.8,0.063
9.0,908.2,0.115
10.0,1118.0,0.13
11.0,1346.0,0.162
12.0,1537.0,0.16699999999999998
13.0,1725.0,0.096
14.0,1993.0,0.034
15.0,2281.0,0.096
16.0,2456.0,0.040999999999999995
17.0,2524.0,0.098
18.0,2616.0,0.179
19.0,2816.0,0.153
20.0,3087.0,0.071
21.0,3368.0,0.021
22.0,3660.0,0.076
23.0,3988.0,0.125
24.0,4303.0,0.159
25.0,4476.0,0.165
26.0,4418.0,0.138
27.0,4190.0,0.086
28.0,3945.0,0.044000000000000004
29.0,3779.0,0.039
30.0,3661.0,0.068
31.0,3504.0,0.10099999999999999
32.0,3261.0,0.10800000000000001
33.0,2951.0,0.08800000000000001
34.0,2613.0,0.07200000000000001
35.0,2275.0,0.106
36.0,2097.0,0.16699999999999998
37.0,3267.0,0.11599999999999999
38.0,9753.0,0.027999999999999997
39.0,25130.0,0.040999999999999995
40.0,41140.0,0.037000000000000005
41.0,41930.0,0.025
42.0,27580.0,0.026000000000000002
43.0,12520.0,0.064
44.0,4695.0,0.111
