Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,5.318e-07,0.17322
0.5007699999999999,4.2673e-07,0.21057
0.5134449999999999,5.9593e-07,0.14717
0.52644,7.4858e-07,0.11135
0.5397700000000001,4.8533e-07,0.16905
0.553435,5.6401e-07,0.14271
0.567445,6.9698e-07,0.10955
0.58181,8.2317e-07,0.095527
0.596535,7.63e-07,0.099869
0.61164,7.9093e-07,0.092656
0.6271249999999999,7.3146e-07,0.1008
0.643,1.0106e-06,0.073052
0.65928,7.8413e-07,0.089829
0.67597,8.2597e-07,0.083866
0.69308,9.9124e-07,0.069517
0.7106250000000001,9.2084e-07,0.072862
0.728615,9.5206e-07,0.073272
0.7470600000000001,1.0391e-06,0.065266
0.76597,9.9505e-07,0.065345
0.7853600000000001,9.314e-07,0.071265
0.805245,1.221e-06,0.054002
0.82563,1.0848e-06,0.059573
0.84653,1.1515e-06,0.058192
0.8679600000000001,1.0822e-06,0.062108
0.88993,1.1699e-06,0.054969
0.912455,1.2477e-06,0.053212
0.935555,1.134e-06,0.056871
0.9592400000000001,1.3469e-06,0.050318
0.983525,1.2625e-06,0.054204
1.00841,1.2754e-06,0.054866
1.03395,1.3193e-06,0.052551
1.06015,1.3273e-06,0.053089
1.087,1.4113e-06,0.048332
1.1145,1.3611e-06,0.050812
1.1427,1.3563e-06,0.051487
1.17165,1.3565e-06,0.049901
1.2012999999999998,1.3652e-06,0.049685
1.2317,1.3764e-06,0.051563
1.2629000000000001,1.4921e-06,0.046889
1.2948499999999998,1.3982e-06,0.050357
1.3276,1.3382e-06,0.055635
1.3612000000000002,1.5104e-06,0.048526
1.39565,1.5597e-06,0.047294
1.431,1.5788e-06,0.04637
1.46725,1.6469e-06,0.044559
1.5044,1.6364e-06,0.044362
1.5425,1.7169e-06,0.043623
1.58155,1.6888e-06,0.043839
1.62155,1.4757e-06,0.049332
1.6625999999999999,1.4727e-06,0.050178
1.7046999999999999,1.6229e-06,0.047473
1.7478500000000001,1.5902e-06,0.047887
1.7921,1.6804e-06,0.044812
1.83745,1.7534e-06,0.045377
1.88395,1.8267e-06,0.043736
1.9316499999999999,1.9547e-06,0.040666
1.98055,1.7474e-06,0.045298
2.0307,1.8251e-06,0.04308
2.0820999999999996,1.8464e-06,0.042903
2.1348000000000003,1.7351e-06,0.045186
2.1888500000000004,1.6382e-06,0.045394
2.24425,1.6557e-06,0.045039
2.3011,1.4989e-06,0.050051
2.35935,1.5511e-06,0.048247
2.41905,1.5638e-06,0.048129
2.4802999999999997,1.3467e-06,0.055338
2.5431,1.5608e-06,0.045971
2.6075,1.3333e-06,0.05384
2.6734999999999998,1.246e-06,0.052888
2.74115,1.1549e-06,0.055856
2.81055,9.9558e-07,0.063722
2.8817,1.0274e-06,0.065052
2.95465,1.2727e-06,0.054082
3.0294499999999998,1.3384e-06,0.052502
3.10615,1.1934e-06,0.060246
3.1848,1.085e-06,0.062807
3.2654,9.8201e-07,0.06835
3.3480499999999997,1.0421e-06,0.065496
3.43285,9.1074e-07,0.074388
3.51975,8.7362e-07,0.077662
3.60885,1.1737e-06,0.06205
3.70025,1.2628e-06,0.06029
3.7939,1.2885e-06,0.060192
3.8899,1.5658e-06,0.052849
3.9883499999999996,1.7324e-06,0.049403
4.08935,1.7696e-06,0.047754
4.1929,1.9068e-06,0.045774
4.29905,1.8855e-06,0.047743
4.4079,2.328e-06,0.040151
4.51945,2.7208e-06,0.037068
4.63385,2.5794e-06,0.038789
4.75115,2.7637e-06,0.038059
4.8713999999999995,2.667e-06,0.038241
4.99475,2.5214e-06,0.040277
5.1212,2.2055e-06,0.044555
5.25085,1.9362e-06,0.050034
5.3838,1.639e-06,0.056473
5.5201,1.5636e-06,0.056484
5.659800000000001,1.2057e-06,0.070427
5.803050000000001,1.2021e-06,0.065833
5.95,9.9051e-07,0.079773
6.10065,9.4485e-07,0.080569
6.25505,8.2153e-07,0.093377
6.413399999999999,1.1708e-06,0.071494
6.575749999999999,1.4058e-06,0.062309
6.7422,1.5215e-06,0.060525
6.9129000000000005,1.5615e-06,0.060371
7.087899999999999,1.3523e-06,0.067869
7.26735,1.0571e-06,0.081114
7.4513,8.2887e-07,0.10163
7.639900000000001,7.9757e-07,0.096537
7.8332999999999995,7.999e-07,0.10541
8.0316,9.2464e-07,0.094987
8.23495,1.32e-06,0.072697
8.443449999999999,1.4765e-06,0.069754
8.6572,2.0949e-06,0.053703
8.876349999999999,2.9503e-06,0.044282
9.10105,3.5873e-06,0.04101
9.33145,5.3004e-06,0.032896
9.56765,7.9809e-06,0.026862
9.80985,1.0805e-05,0.022942
10.05825,1.0742e-05,0.022977
10.312999999999999,7.4275e-06,0.028647
10.574,3.7633e-06,0.042306
10.8415,1.8302e-06,0.066488
11.116,1.3709e-06,0.07711
11.3975,1.3201e-06,0.083951
11.686,1.3483e-06,0.083626
11.982,1.7562e-06,0.068012
12.285499999999999,2.2221e-06,0.05818
12.596499999999999,2.6772e-06,0.053737
12.915,3.6221e-06,0.044095
13.2415,6.5838e-06,0.031775
13.577,1.3865e-05,0.021657
13.921,2.8338e-05,0.015039
14.2735,4.7646e-05,0.011619
14.635,5.6226e-05,0.010655
15.0055,3.541e-05,0.013376
15.385,1.1588e-05,0.023317
15.7745,2.3537e-06,0.053304
16.174,8.8001e-07,0.083374
16.583,3.0169e-07,0.1678
17.003,1.0534e-07,0.32451
17.433500000000002,5.2312e-08,0.48677
17.874499999999998,5.739e-09,4.0673
18.326999999999998,2.7139e-08,0.76353
18.791,2.4248e-08,0.84141
19.267,2.3838e-08,0.78555
19.755,-2.0717e-09,10.527
20.243,2.016e-08,1.0744
