Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.488405,4.3973e-07,0.21898
0.5007699999999999,6.7218e-07,0.13987
0.5134449999999999,6.7425e-07,0.14089
0.52644,5.7695e-07,0.15212
0.5397700000000001,9.0229e-07,0.10566
0.553435,7.0878e-07,0.11979
0.567445,8.5933e-07,0.09834
0.58181,7.5509e-07,0.10835
0.596535,9.6118e-07,0.086702
0.61164,9.6032e-07,0.084415
0.6271249999999999,1.067e-06,0.075787
0.643,1.0871e-06,0.075108
0.65928,1.0668e-06,0.075066
0.67597,1.1491e-06,0.068043
0.69308,1.1279e-06,0.07257
0.7106250000000001,1.2369e-06,0.064435
0.728615,1.2594e-06,0.062169
0.7470600000000001,1.2303e-06,0.06317
0.76597,1.2617e-06,0.061945
0.7853600000000001,1.2526e-06,0.060663
0.805245,1.4714e-06,0.052983
0.82563,1.3153e-06,0.057448
0.84653,1.45e-06,0.05398
0.8679600000000001,1.4208e-06,0.054632
0.88993,1.3109e-06,0.057487
0.912455,1.4938e-06,0.051288
0.935555,1.5997e-06,0.049119
0.9592400000000001,1.5e-06,0.053103
0.983525,1.7645e-06,0.047262
1.00841,1.8103e-06,0.045917
1.03395,2.1366e-06,0.042966
1.06015,2.0237e-06,0.043673
1.087,2.1294e-06,0.041303
1.1145,2.0483e-06,0.042471
1.1427,2.259e-06,0.039906
1.17165,2.1353e-06,0.040573
1.2012999999999998,2.2946e-06,0.039317
1.2317,2.2141e-06,0.04002
1.2629000000000001,2.3174e-06,0.038407
1.2948499999999998,2.2634e-06,0.039631
1.3276,2.5022e-06,0.038127
1.3612000000000002,2.6588e-06,0.036965
1.39565,2.6366e-06,0.035629
1.431,2.9057e-06,0.034124
1.46725,2.8699e-06,0.034602
1.5044,2.9022e-06,0.033985
1.5425,3.0545e-06,0.032619
1.58155,3.0204e-06,0.032839
1.62155,2.9791e-06,0.03371
1.6625999999999999,3.1873e-06,0.032095
1.7046999999999999,3.2468e-06,0.031784
1.7478500000000001,3.4275e-06,0.031279
1.7921,3.5355e-06,0.030012
1.83745,3.5916e-06,0.030266
1.88395,3.8921e-06,0.02864
1.9316499999999999,3.3107e-06,0.031236
1.98055,3.3261e-06,0.031457
2.0307,3.6012e-06,0.030408
2.0820999999999996,3.9279e-06,0.028605
2.1348000000000003,3.7741e-06,0.029622
2.1888500000000004,3.5324e-06,0.030957
2.24425,3.5708e-06,0.030276
2.3011,3.852e-06,0.029241
2.35935,3.6148e-06,0.03099
2.41905,3.6724e-06,0.030261
2.4802999999999997,3.3349e-06,0.03219
2.5431,3.1446e-06,0.033097
2.6075,2.8224e-06,0.035981
2.6734999999999998,2.2882e-06,0.040367
2.74115,1.6484e-06,0.052083
2.81055,3.7731e-06,0.030995
2.8817,6.5932e-06,0.022602
2.95465,5.016e-06,0.026162
3.0294499999999998,3.5675e-06,0.032192
3.10615,1.9927e-06,0.047567
3.1848,1.4478e-06,0.061437
3.2654,1.3337e-06,0.064892
3.3480499999999997,1.278e-06,0.069667
3.43285,1.2249e-06,0.072578
3.51975,1.5022e-06,0.061205
3.60885,1.8579e-06,0.053167
3.70025,2.1471e-06,0.049199
3.7939,2.4215e-06,0.045838
3.8899,2.7525e-06,0.041885
3.9883499999999996,2.671e-06,0.043644
4.08935,2.6331e-06,0.044011
4.1929,3.0721e-06,0.039827
4.29905,3.4803e-06,0.036829
4.4079,4.4526e-06,0.031821
4.51945,4.9808e-06,0.029973
4.63385,6.0647e-06,0.026384
4.75115,6.4897e-06,0.025799
4.8713999999999995,6.7016e-06,0.025627
4.99475,7.4881e-06,0.023969
5.1212,6.5535e-06,0.026089
5.25085,6.1973e-06,0.030008
5.3838,5.9276e-06,0.030857
5.5201,5.5089e-06,0.032278
5.659800000000001,5.0666e-06,0.033469
5.803050000000001,4.365e-06,0.03619
5.95,3.2029e-06,0.043374
6.10065,2.8489e-06,0.046323
6.25505,4.5923e-06,0.035444
6.413399999999999,5.7768e-06,0.031815
6.575749999999999,6.2553e-06,0.031008
6.7422,7.014e-06,0.029116
6.9129000000000005,6.2052e-06,0.03136
7.087899999999999,3.557e-06,0.042891
7.26735,2.1869e-06,0.057166
7.4513,1.3548e-06,0.082208
7.639900000000001,1.3348e-06,0.081872
7.8332999999999995,1.7605e-06,0.068683
8.0316,2.4677e-06,0.05597
8.23495,3.0955e-06,0.050162
8.443449999999999,3.3624e-06,0.047322
8.6572,3.6967e-06,0.04482
8.876349999999999,3.6128e-06,0.045246
9.10105,4.8937e-06,0.039355
9.33145,6.7882e-06,0.033309
9.56765,9.3955e-06,0.027982
9.80985,1.527e-05,0.021808
10.05825,2.207e-05,0.017976
10.312999999999999,1.9833e-05,0.019225
10.574,1.091e-05,0.026719
10.8415,5.643e-06,0.038882
11.116,5.0233e-06,0.042842
11.3975,6.3308e-06,0.037642
11.686,8.0409e-06,0.032425
11.982,1.0028e-05,0.029033
12.285499999999999,1.1777e-05,0.026725
12.596499999999999,1.1942e-05,0.0265
12.915,1.4875e-05,0.023506
13.2415,2.8391e-05,0.016941
13.577,6.9575e-05,0.01081
13.921,0.00018835,0.006591
14.2735,0.00064577,0.0035668
14.635,0.0014523,0.0023708
15.0055,0.0011122,0.0027023
15.385,0.00032449,0.0049602
15.7745,4.8007e-05,0.012744
16.174,1.3666e-05,0.02364
16.583,4.4288e-06,0.041232
17.003,1.425e-06,0.072847
17.433500000000002,4.1411e-07,0.1409
17.874499999999998,1.6257e-07,0.25691
18.326999999999998,1.0238e-07,0.31987
18.791,-2.9683e-09,9.1114
19.267,-1.4155e-08,1.4311
19.755,-3.2646e-09,4.5449
20.243,1.7436e-08,0.88685
