Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,-3.8709e-09,0.0
0.0324205,-5.4636e-08,0.0
0.034083,-4.2403e-07,0.49254
0.0358305,-8.0141e-08,3.8283
0.0376675,8.59e-08,3.1005
0.039598999999999995,-1.0264e-07,2.2192
0.0416295,3.7088e-07,0.59914
0.0437635,-2.8309e-07,0.73654
0.046007,4.6775e-07,0.37394
0.048366,1.7239e-07,1.0198
0.050846,2.4737e-07,0.61284
0.053453,4.8668e-07,0.28821
0.0561935,2.3309e-07,0.51278
0.0590745,3.3842e-07,0.31638
0.062103500000000006,4.2813e-08,2.1886
0.0652875,2.2052e-07,0.38618
0.0686345,2.4285e-07,0.31574
0.0721535,3.0558e-07,0.23292
0.075853,3.2321e-07,0.20608
0.07974200000000001,2.3576e-07,0.26972
0.0838305,4.8139e-07,0.12559
0.088129,4.2224e-07,0.14031
0.0926475,1.5947e-07,0.32019
0.0973975,2.5612e-07,0.19136
0.10239100000000001,3.3286e-07,0.14619
0.10764,2.912e-07,0.15479
0.11316,4.0872e-07,0.10925
0.11896,4.2172e-07,0.10221
0.12506,5.9206e-07,0.071666
0.131475,6.7512e-07,0.066089
0.13821499999999998,6.4882e-07,0.068661
0.14529999999999998,8.4099e-07,0.054258
0.15275,4.4885e-07,0.087953
0.16058,5.379e-07,0.068431
0.16881,7.0284e-07,0.056673
0.17747,9.6076e-07,0.044917
0.18657,9.0585e-07,0.04629
0.196135,1.2594e-06,0.036127
0.20618999999999998,6.147e-07,0.060562
0.21676,9.2181e-07,0.044147
0.227875,1.1329e-06,0.038418
0.23956,1.112e-06,0.038263
0.251845,1.1959e-06,0.036983
0.26475499999999996,1.2701e-06,0.035589
0.278325,1.3892e-06,0.03268
0.292595,1.6454e-06,0.030045
0.3076,1.4384e-06,0.032515
0.32337000000000005,1.9854e-06,0.026899
0.33995,2.0707e-06,0.026437
0.35738000000000003,1.85e-06,0.028214
0.37570000000000003,2.7376e-06,0.022114
0.394965,2.6072e-06,0.023177
0.415215,2.3751e-06,0.024486
0.43650500000000003,2.172e-06,0.026023
0.458885,2.4005e-06,0.024729
0.48241,2.6369e-06,0.02305
0.507145,3.1054e-06,0.020747
0.533145,3.0496e-06,0.020834
0.56048,3.1153e-06,0.020496
0.58922,3.2915e-06,0.019839
0.6194299999999999,3.6902e-06,0.018624
0.6511899999999999,4.6256e-06,0.016703
0.68458,4.9394e-06,0.016309
0.7196750000000001,4.6637e-06,0.016885
0.75657,5.0148e-06,0.016029
0.79536,4.4381e-06,0.017334
0.83614,4.4176e-06,0.017364
0.8790100000000001,4.6938e-06,0.016868
0.92408,4.8393e-06,0.016692
0.97146,4.984e-06,0.016766
1.02127,5.3882e-06,0.016281
1.07365,4.8104e-06,0.017441
1.1287,4.8846e-06,0.017354
1.18655,5.2973e-06,0.016566
1.2473999999999998,5.7012e-06,0.016022
1.31135,5.635e-06,0.01632
1.3785500000000002,5.3889e-06,0.017039
1.4492500000000001,5.1958e-06,0.017633
1.5235500000000002,5.1899e-06,0.017837
1.60165,5.2268e-06,0.017821
1.6838,4.9945e-06,0.018624
1.7701500000000001,5.2867e-06,0.023965
1.8609,5.4033e-06,0.023285
1.9563,4.9489e-06,0.0239
2.0566,4.8036e-06,0.023987
2.16205,5.0585e-06,0.022772
2.2729,4.7023e-06,0.023755
2.3894,4.7599e-06,0.023484
2.5119,4.6791e-06,0.02353
2.6407,4.354e-06,0.024371
2.7761,4.2046e-06,0.025034
2.91845,4.055e-06,0.025158
3.06805,3.9796e-06,0.025839
3.2253499999999997,4.0493e-06,0.025691
3.3907499999999997,3.5853e-06,0.02821
3.5646,3.4483e-06,0.029584
3.74735,3.2755e-06,0.030077
3.93945,2.9191e-06,0.032334
4.14145,2.8184e-06,0.033444
4.3538,2.7917e-06,0.035049
4.577,2.6374e-06,0.035215
4.81165,2.4913e-06,0.036527
5.05835,2.4936e-06,0.036465
5.3177,2.3304e-06,0.03871
5.59035,2.2182e-06,0.039919
5.877000000000001,2.2021e-06,0.041298
6.1783,1.9562e-06,0.045876
6.49505,1.9361e-06,0.046057
6.8281,1.8108e-06,0.051207
7.1782,1.7736e-06,0.053264
7.5462,1.9208e-06,0.050734
7.9331,1.5918e-06,0.063149
8.339849999999998,1.4997e-06,0.070628
8.76745,1.4165e-06,0.07737
9.21695,1.4551e-06,0.075775
9.689499999999999,1.6688e-06,0.069749
10.186350000000001,1.6043e-06,0.075989
10.7085,2.1899e-06,0.061245
11.2575,1.8036e-06,0.072173
11.835,1.7219e-06,0.076472
12.442,2.1744e-06,0.061235
13.0795,2.2294e-06,0.056054
13.75,2.8486e-06,0.044083
14.455,1.0571e-05,0.019851
15.196000000000002,8.0926e-05,0.0069337
15.9755,0.00010906,0.0058573
16.7945,1.411e-05,0.016037
17.6555,2.8648e-06,0.035487
18.561,5.2954e-07,0.082399
19.5125,6.7125e-08,0.30645
20.464,1.7558e-08,0.75093
