Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,0.0,1.0
0.0324205,-8.4368e-07,0.0
0.034083,-8.1927e-07,0.1657
0.0358305,4.9287e-08,5.481
0.0376675,-4.5446e-07,0.54237
0.039598999999999995,-1.8229e-07,1.2265
0.0416295,8.9746e-08,2.1894
0.0437635,5.2897e-08,3.5479
0.046007,1.7698e-07,0.96397
0.048366,3.5957e-07,0.46191
0.050846,2.0129e-07,0.7216
0.053453,5.4666e-07,0.22532
0.0561935,3.9525e-07,0.27727
0.0590745,3.4155e-07,0.28912
0.062103500000000006,4.598e-07,0.19755
0.0652875,6.1665e-07,0.13774
0.0686345,7.7944e-07,0.097434
0.0721535,8.5982e-07,0.08448
0.075853,9.5891e-07,0.069792
0.07974200000000001,8.9761e-07,0.070968
0.0838305,1.0007e-06,0.060536
0.088129,7.3061e-07,0.0753
0.0926475,5.5247e-07,0.086142
0.0973975,6.4293e-07,0.073005
0.10239100000000001,6.9922e-07,0.066445
0.10764,8.5912e-07,0.055547
0.11316,1.0286e-06,0.045978
0.11896,1.3521e-06,0.036445
0.12506,1.7038e-06,0.030285
0.131475,1.9337e-06,0.02785
0.13821499999999998,2.1762e-06,0.024513
0.14529999999999998,2.0476e-06,0.025168
0.15275,1.2732e-06,0.034762
0.16058,1.5528e-06,0.028184
0.16881,2.0815e-06,0.022845
0.17747,2.1715e-06,0.021911
0.18657,2.0828e-06,0.022238
0.196135,1.9026e-06,0.023214
0.20618999999999998,1.2374e-06,0.030668
0.21676,1.687e-06,0.024632
0.227875,2.1616e-06,0.020953
0.23956,2.0548e-06,0.021528
0.251845,2.4732e-06,0.019119
0.26475499999999996,2.7686e-06,0.018054
0.278325,3.535e-06,0.015628
0.292595,3.9317e-06,0.014676
0.3076,4.2434e-06,0.014257
0.32337000000000005,5.0323e-06,0.012845
0.33995,4.0754e-06,0.014632
0.35738000000000003,4.4399e-06,0.013783
0.37570000000000003,4.5265e-06,0.013751
0.394965,3.4728e-06,0.016183
0.415215,2.3321e-06,0.020769
0.43650500000000003,2.3872e-06,0.020339
0.458885,3.0025e-06,0.017642
0.48241,3.5601e-06,0.015789
0.507145,3.5826e-06,0.015742
0.533145,3.6585e-06,0.015215
0.56048,4.1607e-06,0.014064
0.58922,5.2236e-06,0.012401
0.6194299999999999,6.4677e-06,0.011079
0.6511899999999999,7.5436e-06,0.010296
0.68458,6.6014e-06,0.011259
0.7196750000000001,4.8914e-06,0.013328
0.75657,4.2255e-06,0.014473
0.79536,3.0351e-06,0.017398
0.83614,2.9761e-06,0.017815
0.8790100000000001,3.5064e-06,0.016181
0.92408,3.7143e-06,0.01575
0.97146,4.1229e-06,0.014937
1.02127,3.9736e-06,0.01551
1.07365,3.1851e-06,0.01782
1.1287,3.1293e-06,0.017976
1.18655,3.5664e-06,0.016706
1.2473999999999998,3.5727e-06,0.016882
1.31135,2.967e-06,0.019258
1.3785500000000002,2.5507e-06,0.02121
1.4492500000000001,2.3384e-06,0.022947
1.5235500000000002,2.1216e-06,0.02439
1.60165,2.065e-06,0.025293
1.6838,1.9348e-06,0.026696
1.7701500000000001,2.1938e-06,0.031921
1.8609,1.9894e-06,0.033707
1.9563,1.6861e-06,0.036093
2.0566,1.4103e-06,0.039945
2.16205,1.4106e-06,0.039123
2.2729,1.3098e-06,0.040234
2.3894,1.2147e-06,0.043869
2.5119,1.153e-06,0.045014
2.6407,1.0005e-06,0.048398
2.7761,9.3273e-07,0.051078
2.91845,9.7537e-07,0.048339
3.06805,7.7302e-07,0.056395
3.2253499999999997,7.3643e-07,0.055938
3.3907499999999997,7.1748e-07,0.057722
3.5646,6.4096e-07,0.062014
3.74735,5.4283e-07,0.066193
3.93945,5.2046e-07,0.068515
4.14145,5.1418e-07,0.071651
4.3538,4.9315e-07,0.070511
4.577,4.6449e-07,0.073457
4.81165,3.9418e-07,0.085157
5.05835,3.703e-07,0.088601
5.3177,3.8221e-07,0.086285
5.59035,3.6372e-07,0.095068
5.877000000000001,3.6514e-07,0.095847
6.1783,2.9851e-07,0.11408
6.49505,3.2508e-07,0.10773
6.8281,3.114e-07,0.1272
7.1782,2.6375e-07,0.14154
7.5462,3.2066e-07,0.11297
7.9331,2.4799e-07,0.14306
8.339849999999998,2.7308e-07,0.13711
8.76745,1.9204e-07,0.20116
9.21695,2.5911e-07,0.15451
9.689499999999999,2.2131e-07,0.18146
10.186350000000001,2.1174e-07,0.20411
10.7085,3.4664e-07,0.1202
11.2575,2.4761e-07,0.15916
11.835,2.4606e-07,0.16332
12.442,3.1045e-07,0.13273
13.0795,2.1759e-07,0.18864
13.75,6.6872e-07,0.073624
14.455,1.498e-06,0.044918
15.196000000000002,2.9647e-06,0.030334
15.9755,1.8356e-06,0.03797
16.7945,2.1134e-07,0.12723
17.6555,4.0407e-08,0.41366
18.561,3.1868e-09,3.7852
19.5125,-2.221e-09,4.9678
20.464,1.3112e-09,8.5381
