Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,0.0,1.0
0.0308395,-1.6689e-07,0.0
0.0324205,-7.3119e-07,0.0
0.034083,-8.1735e-07,0.27666
0.0358305,-2.9159e-07,0.88888
0.0376675,-4.4108e-07,0.54129
0.039598999999999995,-4.0201e-07,0.52192
0.0416295,-4.6344e-08,4.0488
0.0437635,2.8887e-07,0.63124
0.046007,-2.7707e-07,0.60905
0.048366,2.6213e-07,0.60044
0.050846,5.5188e-08,2.4645
0.053453,3.5765e-07,0.34002
0.0561935,4.2914e-07,0.24239
0.0590745,4.4827e-07,0.2112
0.062103500000000006,3.8994e-07,0.22261
0.0652875,6.1755e-07,0.1257
0.0686345,7.1761e-07,0.10192
0.0721535,7.7181e-07,0.088074
0.075853,7.1306e-07,0.088711
0.07974200000000001,7.1082e-07,0.080484
0.0838305,9.5519e-07,0.059772
0.088129,7.5063e-07,0.068317
0.0926475,4.0177e-07,0.11522
0.0973975,5.3083e-07,0.083971
0.10239100000000001,6.9355e-07,0.062802
0.10764,8.9284e-07,0.049675
0.11316,1.0122e-06,0.04331
0.11896,1.3209e-06,0.034492
0.12506,1.4956e-06,0.031358
0.131475,1.8939e-06,0.025876
0.13821499999999998,2e-06,0.024874
0.14529999999999998,2.0043e-06,0.024091
0.15275,1.2391e-06,0.032154
0.16058,1.436e-06,0.028092
0.16881,1.9799e-06,0.022068
0.17747,2.2003e-06,0.020454
0.18657,2.0675e-06,0.020552
0.196135,2.0454e-06,0.020391
0.20618999999999998,1.3107e-06,0.026912
0.21676,1.5925e-06,0.02419
0.227875,2.1652e-06,0.019839
0.23956,2.086e-06,0.02032
0.251845,2.3959e-06,0.018283
0.26475499999999996,2.7393e-06,0.016742
0.278325,3.4107e-06,0.014864
0.292595,3.9455e-06,0.013796
0.3076,4.2333e-06,0.013095
0.32337000000000005,4.9641e-06,0.012121
0.33995,4.2866e-06,0.013234
0.35738000000000003,4.3323e-06,0.012987
0.37570000000000003,4.9234e-06,0.012075
0.394965,3.7732e-06,0.014185
0.415215,2.5702e-06,0.017882
0.43650500000000003,2.4419e-06,0.018687
0.458885,3.1842e-06,0.015686
0.48241,3.7844e-06,0.014159
0.507145,4.0407e-06,0.013305
0.533145,3.9461e-06,0.013423
0.56048,4.4038e-06,0.012531
0.58922,5.4303e-06,0.011218
0.6194299999999999,6.9336e-06,0.0098695
0.6511899999999999,8.1923e-06,0.0091671
0.68458,7.4679e-06,0.0096754
0.7196750000000001,5.522e-06,0.011419
0.75657,4.962e-06,0.012071
0.79536,3.4107e-06,0.014888
0.83614,3.2443e-06,0.015244
0.8790100000000001,3.9436e-06,0.01371
0.92408,4.2265e-06,0.013431
0.97146,4.6365e-06,0.01289
1.02127,4.7853e-06,0.012894
1.07365,3.6963e-06,0.014671
1.1287,3.5665e-06,0.015252
1.18655,4.0541e-06,0.014282
1.2473999999999998,4.1852e-06,0.014085
1.31135,3.6095e-06,0.015419
1.3785500000000002,2.9147e-06,0.017493
1.4492500000000001,2.7572e-06,0.018601
1.5235500000000002,2.6794e-06,0.019003
1.60165,2.477e-06,0.020182
1.6838,2.402e-06,0.020638
1.7701500000000001,2.6445e-06,0.026104
1.8609,2.4013e-06,0.026808
1.9563,2.0558e-06,0.028518
2.0566,1.8229e-06,0.029591
2.16205,1.7531e-06,0.030844
2.2729,1.6743e-06,0.030887
2.3894,1.6024e-06,0.031252
2.5119,1.3825e-06,0.03396
2.6407,1.1828e-06,0.036772
2.7761,1.2858e-06,0.034055
2.91845,1.159e-06,0.035616
3.06805,1.1349e-06,0.036092
3.2253499999999997,9.955e-07,0.038986
3.3907499999999997,8.8711e-07,0.043728
3.5646,8.6896e-07,0.043267
3.74735,7.4058e-07,0.049753
3.93945,6.8154e-07,0.051212
4.14145,6.9507e-07,0.050377
4.3538,5.8635e-07,0.058009
4.577,6.1034e-07,0.055861
4.81165,5.4759e-07,0.058164
5.05835,6.066e-07,0.054502
5.3177,5.2628e-07,0.061922
5.59035,4.7239e-07,0.068474
5.877000000000001,4.3322e-07,0.070459
6.1783,4.3261e-07,0.074113
6.49505,4.3306e-07,0.073126
6.8281,3.7858e-07,0.085526
7.1782,4.1611e-07,0.082693
7.5462,3.3642e-07,0.10246
7.9331,3.5846e-07,0.095832
8.339849999999998,3.8454e-07,0.091849
8.76745,3.6691e-07,0.097686
9.21695,3.9934e-07,0.092833
9.689499999999999,4.5714e-07,0.087409
10.186350000000001,4.2857e-07,0.097548
10.7085,6.0194e-07,0.07392
11.2575,4.7222e-07,0.092046
11.835,4.2552e-07,0.094844
12.442,5.3236e-07,0.079071
13.0795,5.4554e-07,0.080678
13.75,1.3146e-06,0.043792
14.455,3.9544e-06,0.023881
15.196000000000002,1.5011e-05,0.012076
15.9755,7.4865e-06,0.016778
16.7945,7.8914e-07,0.053299
17.6555,2.0995e-07,0.10456
18.561,4.9954e-08,0.24563
19.5125,6.6022e-09,1.0669
20.464,2.8669e-09,2.7956
