Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,0.0,0.0
7.0,0.5733,0.27699999999999997
8.0,0.5917,0.09300000000000001
9.0,0.5508,0.055999999999999994
10.0,0.5143,0.105
11.0,0.5006,0.133
12.0,0.4984,0.136
13.0,0.4922,0.105
14.0,0.4733,0.05
15.0,0.4465,0.102
16.0,0.4339,0.13
17.0,0.4606,0.233
18.0,0.5323,0.265
19.0,0.6316,0.217
20.0,0.7348,0.131
21.0,0.8301,0.061
22.0,0.9192,0.109
23.0,1.008,0.151
24.0,1.104,0.171
25.0,1.206,0.16699999999999998
26.0,1.305,0.146
27.0,1.375,0.122
28.0,1.396,0.107
29.0,1.372,0.105
30.0,1.338,0.114
31.0,1.344,0.124
32.0,1.417,0.124
33.0,1.554,0.11599999999999999
34.0,1.724,0.10800000000000001
35.0,1.893,0.10400000000000001
36.0,2.03,0.106
37.0,2.118,0.109
38.0,2.153,0.111
39.0,2.143,0.109
40.0,2.116,0.10300000000000001
41.0,2.107,0.092
42.0,2.154,0.08199999999999999
43.0,2.286,0.075
44.0,2.507,0.069
46.0,2.958,0.061
48.0,3.553,0.054000000000000006
50.0,3.88,0.046
52.0,3.848,0.045
54.0,3.649,0.054000000000000006
56.0,4.037,0.048
58.0,6.539,0.024
60.0,12.1,0.03
62.0,18.44,0.024
64.0,20.72,0.013999999999999999
66.0,16.82,0.018000000000000002
68.0,9.864,0.038
70.0,4.219,0.052000000000000005
